item_index,item,footprint,footprint_type
Afghanistan,Bovine Meat,103.58075663114975,abx
Afghanistan,Mutton & Goat Meat,209.73395230377355,abx
Afghanistan,Pigmeat,155.64850775466667,abx
Afghanistan,Poultry Meat,8.381442952499317,abx
Albania,Bovine Meat,135.2309904387717,abx
Albania,Mutton & Goat Meat,343.83297723185206,abx
Albania,Pigmeat,179.3615952656695,abx
Albania,Poultry Meat,31.512174182724657,abx
Algeria,Bovine Meat,32.47656427504884,abx
Algeria,Mutton & Goat Meat,97.87473400377357,abx
Algeria,Pigmeat,57.89796888753089,abx
Algeria,Poultry Meat,12.979593285938856,abx
Andorra,Bovine Meat,135.22841920114973,abx
Andorra,Mutton & Goat Meat,343.8313571943396,abx
Angola,Bovine Meat,43.345037193149764,abx
Angola,Mutton & Goat Meat,97.87473400377357,abx
Angola,Pigmeat,39.81350475943748,abx
Angola,Poultry Meat,15.558454973985308,abx
Anguilla,Bovine Meat,102.51942941914976,abx
Anguilla,Mutton & Goat Meat,777.3906488,abx
Antigua and Barbuda,Bovine Meat,103.34940158514975,abx
Antigua and Barbuda,Mutton & Goat Meat,777.3906488,abx
Antigua and Barbuda,Pigmeat,392.5464726601095,abx
Antigua and Barbuda,Poultry Meat,49.71347002085294,abx
Argentina,Bovine Meat,101.66439088015792,abx
Argentina,Mutton & Goat Meat,777.3906488,abx
Argentina,Pigmeat,287.8547565939157,abx
Argentina,Poultry Meat,47.75640161331832,abx
Armenia,Bovine Meat,134.27327972314976,abx
Armenia,Mutton & Goat Meat,343.8313571943396,abx
Armenia,Pigmeat,176.72401688511735,abx
Armenia,Poultry Meat,52.06785946638726,abx
Aruba,Bovine Meat,102.51942941914976,abx
Aruba,Mutton & Goat Meat,777.3906488,abx
Aruba,Pigmeat,379.27384682715035,abx
Aruba,Poultry Meat,49.40365130865097,abx
Australia,Bovine Meat,232.0343451594921,abx
Australia,Mutton & Goat Meat,681.5703367578036,abx
Australia,Pigmeat,460.6375003148999,abx
Australia,Poultry Meat,91.5495943225427,abx
Austria,Bovine Meat,14.374857081292511,abx
Austria,Mutton & Goat Meat,111.7642565241446,abx
Austria,Pigmeat,45.46628699311719,abx
Austria,Poultry Meat,14.561475123125224,abx
Azerbaijan,Bovine Meat,144.10951878514976,abx
Azerbaijan,Mutton & Goat Meat,343.8313571943396,abx
Azerbaijan,Pigmeat,194.12663948154187,abx
Azerbaijan,Poultry Meat,46.082975346643224,abx
Bahamas,Bovine Meat,104.33498102514976,abx
Bahamas,Mutton & Goat Meat,777.3906488,abx
Bahamas,Pigmeat,445.43488549807097,abx
Bahamas,Poultry Meat,51.58124172431167,abx
Bahrain,Bovine Meat,103.58075663114975,abx
Bahrain,Mutton & Goat Meat,209.73395230377355,abx
Bahrain,Pigmeat,155.64850775466667,abx
Bahrain,Poultry Meat,37.543148208021165,abx
Bangladesh,Bovine Meat,222.11759606314973,abx
Bangladesh,Mutton & Goat Meat,681.5694554056603,abx
Bangladesh,Pigmeat,98.05850104746668,abx
Bangladesh,Poultry Meat,37.394693462813265,abx
Barbados,Bovine Meat,103.45183539114976,abx
Barbados,Mutton & Goat Meat,777.3906488,abx
Barbados,Pigmeat,369.95048647500363,abx
Barbados,Poultry Meat,48.998168589007555,abx
Belarus,Bovine Meat,132.7353399502885,abx
Belarus,Mutton & Goat Meat,344.1927963561064,abx
Belarus,Pigmeat,184.04437300289544,abx
Belarus,Poultry Meat,51.24515525468732,abx
Belgium,Bovine Meat,59.946644972,abx
Belgium,Mutton & Goat Meat,151.16451916037735,abx
Belgium,Pigmeat,80.90197012133333,abx
Belgium,Poultry Meat,26.306034135625,abx
Belize,Bovine Meat,103.38165918750049,abx
Belize,Mutton & Goat Meat,777.3906488,abx
Belize,Pigmeat,297.62555157731094,abx
Belize,Poultry Meat,48.716918157494845,abx
Benin,Bovine Meat,42.956513436736,abx
Benin,Mutton & Goat Meat,97.87473400377357,abx
Benin,Pigmeat,26.926789836729935,abx
Benin,Poultry Meat,8.631008159613646,abx
Bermuda,Bovine Meat,102.51942941914976,abx
Bermuda,Mutton & Goat Meat,777.3906488,abx
Bermuda,Pigmeat,382.10649247940967,abx
Bermuda,Poultry Meat,49.61281069175171,abx
Bhutan,Bovine Meat,217.00103039714975,abx
Bhutan,Mutton & Goat Meat,681.5694554056603,abx
Bhutan,Pigmeat,281.75075141727996,abx
Bhutan,Poultry Meat,82.99552195411161,abx
Bolivia (Plurinational State of),Bovine Meat,102.31260943505575,abx
Bolivia (Plurinational State of),Mutton & Goat Meat,777.3906488,abx
Bolivia (Plurinational State of),Pigmeat,314.14457284461076,abx
Bolivia (Plurinational State of),Poultry Meat,44.83391070334372,abx
Bosnia and Herzegovina,Bovine Meat,135.1779526282456,abx
Bosnia and Herzegovina,Mutton & Goat Meat,343.8375866988343,abx
Bosnia and Herzegovina,Pigmeat,182.59133562404006,abx
Bosnia and Herzegovina,Poultry Meat,50.93551863989948,abx
Botswana,Bovine Meat,39.747619690550536,abx
Botswana,Mutton & Goat Meat,97.87473400377357,abx
Botswana,Pigmeat,15.1415116306,abx
Botswana,Poultry Meat,15.255090827143825,abx
Brazil,Bovine Meat,101.370496394,abx
Brazil,Mutton & Goat Meat,777.3906488,abx
Brazil,Pigmeat,243.4257687836,abx
Brazil,Poultry Meat,46.265515378749996,abx
British Virgin Islands,Bovine Meat,102.51942941914976,abx
British Virgin Islands,Mutton & Goat Meat,777.3906488,abx
