country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw,proportion_est,proportion_obs,proportion
AFG,extensive,mg_abx_tetracyclines,2.861479234,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,3.974276713888889,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_amphenicols,0.002832455,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.003933965277777778,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_penicillins,0.76868239,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.0676144305555557,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_cephalosporins_1_2,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_cephalosporins_3_4,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_sulfonamides,0.512117235,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.7112739375,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_macrolides,0.797737054,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.1079681305555555,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_lincosamides,0.073801044,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.10250145,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_aminoglycosides,0.103411595,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.14362721527777778,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_quinolones,0.187626835,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.26059282638888887,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_pleuromutilins,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_polymixins,0.118483026,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.16455975833333333,0.7428761674286631,0.98,0.98
AFG,extensive,mg_abx_other_antibiotics,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.7428761674286631,0.98,0.98
ALB,extensive,mg_abx_tetracyclines,2.042981966,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,2.8374749527777783,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_amphenicols,0.004081582,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.005668863888888889,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_penicillins,2.132163373,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,2.9613380180555557,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_cephalosporins_1_2,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_cephalosporins_3_4,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_sulfonamides,1.057540697,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.4688065236111112,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_macrolides,1.155674632,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.6051036555555556,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_lincosamides,0.39383762,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.5469966944444444,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_aminoglycosides,0.287779727,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.3996940652777778,0.04250125844728269,0.5,0.5
ALB,extensive,mg_abx_quinolones,0.267439848,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.3714442333333333,0.04250125844728269,0.5,0.5
