country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw,country_code,country,gleam_region,income_class,proportion_est,proportion_obs,proportion,_merge
AFG,extensive,mg_abx_tetracyclines,2.861479234,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,3.974276713888889,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_tetracyclines,14.30739617,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,19.871383569444447,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_tetracyclines,11.68833195,Mulchandani et al. 2023.,2733,Pigmeat,0.75,15.584442600000001,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_tetracyclines,58.44165977,Mulchandani et al. 2023.,2733,Pigmeat,0.75,77.92221302666667,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_amphenicols,0.002832455,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.003933965277777778,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_amphenicols,0.014162274,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.019669825000000002,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_amphenicols,0.111934881,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.149246508,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_amphenicols,0.559674403,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.7462325373333334,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_penicillins,0.76868239,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.0676144305555557,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_penicillins,3.843411948,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,5.33807215,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_penicillins,2.57122539,Mulchandani et al. 2023.,2733,Pigmeat,0.75,3.42830052,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_penicillins,12.85612695,Mulchandani et al. 2023.,2733,Pigmeat,0.75,17.1415026,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_cephalosporins_1_2,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_cephalosporins_1_2,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_cephalosporins_1_2,0.000674151,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.000898868,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_cephalosporins_1_2,0.003370755,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.00449434,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_cephalosporins_3_4,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_cephalosporins_3_4,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_cephalosporins_3_4,0.00011523,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.00015364,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_cephalosporins_3_4,0.000576148,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.0007681973333333332,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_sulfonamides,0.512117235,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.7112739375,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_sulfonamides,2.560586173,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,3.556369684722222,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_sulfonamides,1.079088766,Mulchandani et al. 2023.,2733,Pigmeat,0.75,1.4387850213333333,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_sulfonamides,5.39544383,Mulchandani et al. 2023.,2733,Pigmeat,0.75,7.193925106666666,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_macrolides,0.797737054,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.1079681305555555,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_macrolides,3.988685268,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,5.5398406499999995,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_macrolides,1.668849344,Mulchandani et al. 2023.,2733,Pigmeat,0.75,2.2251324586666668,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_macrolides,8.34424672,Mulchandani et al. 2023.,2733,Pigmeat,0.75,11.125662293333333,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_lincosamides,0.073801044,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.10250145,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_lincosamides,0.369005219,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.5125072486111111,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_lincosamides,0.574731657,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.766308876,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_lincosamides,2.873658287,Mulchandani et al. 2023.,2733,Pigmeat,0.75,3.831544382666667,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_aminoglycosides,0.103411595,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.14362721527777778,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_aminoglycosides,0.517057974,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.718136075,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_aminoglycosides,1.097624902,Mulchandani et al. 2023.,2733,Pigmeat,0.75,1.4634998693333332,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_aminoglycosides,5.488124508,Mulchandani et al. 2023.,2733,Pigmeat,0.75,7.317499344000001,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_quinolones,0.187626835,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.26059282638888887,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_quinolones,0.938134175,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,1.3029641319444445,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_quinolones,0.229129067,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.30550542266666664,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_quinolones,1.145645337,Mulchandani et al. 2023.,2733,Pigmeat,0.75,1.527527116,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
AFG,extensive,mg_abx_pleuromutilins,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.7428761674286631,0.98,0.98,both
AFG,intensive,mg_abx_pleuromutilins,0.0,Mulchandani et al. 2023.,2734,Poultry Meat,0.72,0.0,2,Afghanistan,South Asia,Low income,0.25712383257133686,0.020000000000000018,0.020000000000000018,both
AFG,extensive,mg_abx_pleuromutilins,0.154640524,Mulchandani et al. 2023.,2733,Pigmeat,0.75,0.20618736533333334,2,Afghanistan,South Asia,Low income,0.8715557647384607,0.0,0.0,both
AFG,intensive,mg_abx_pleuromutilins,0.77320262,Mulchandani et al. 2023.,2733,Pigmeat,0.75,1.0309368266666665,2,Afghanistan,South Asia,Low income,0.12844423526153925,1.0,1.0,both
