country_code,country,fbs_item_code,fbs_item,schar_freshwater_item,Aquaculture production (brackishwater),Aquaculture production (freshwater),Aquaculture production (marine),Capture production,mt_production_aqua,mt_production_total
1,Armenia,2761.0,Freshwater Fish,catfish,0.0,270.0,0.0,11.54,270.0,281.54
1,Armenia,2761.0,Freshwater Fish,diadromous_avg,0.0,11410.0,0.0,25.02,11410.0,11435.02
1,Armenia,2761.0,Freshwater Fish,non_freshwater,0.0,5880.0,0.0,30.78,5880.0,5910.78
1,Armenia,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,642.66,0.0,642.66
2,Afghanistan,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,2100.0,0.0,2100.0
2,Afghanistan,2761.0,Freshwater Fish,diadromous_avg,0.0,50.0,0.0,0.0,50.0,50.0
2,Afghanistan,2761.0,Freshwater Fish,non_freshwater,0.0,7950.0,0.0,0.0,7950.0,7950.0
3,Albania,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,217.0,0.0,217.0
3,Albania,2761.0,Freshwater Fish,diadromous_avg,0.0,1759.0,0.0,70.0,1759.0,1829.0
3,Albania,2761.0,Freshwater Fish,non_freshwater,0.0,0.0,0.0,2226.0,0.0,2226.0
3,Albania,2762.0,Demersal Fish,non_freshwater,0.0,0.0,3470.0,1765.0,3470.0,5235.0
3,Albania,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,2450.0,0.0,2450.0
3,Albania,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,44.0,0.0,44.0
3,Albania,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,1519.0,0.0,1519.0
3,Albania,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,415.0,0.0,415.0
3,Albania,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,1071.0,4.0,1071.0,1075.0
3,Albania,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
4,Algeria,2761.0,Freshwater Fish,catfish,0.0,289.85,0.0,0.0,289.85,289.85
4,Algeria,2761.0,Freshwater Fish,diadromous_avg,0.0,103.39,0.0,0.0,103.39,103.39
4,Algeria,2761.0,Freshwater Fish,non_freshwater,27.69,1716.7099999999998,0.0,0.0,1744.3999999999999,1744.3999999999999
4,Algeria,2761.0,Freshwater Fish,tilapia,376.97,0.0,0.0,0.0,376.97,376.97
4,Algeria,2762.0,Demersal Fish,non_freshwater,1657.54,0.0,0.0,6019.92,1657.54,7677.46
4,Algeria,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,75918.86,0.0,75918.86
4,Algeria,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,15176.77,0.0,15176.77
4,Algeria,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,2141.98,0.0,2141.98
4,Algeria,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,884.91,0.0,884.91
4,Algeria,2767.0,"Molluscs, Other",non_freshwater,563.0500000000001,0.0,0.0,6.64,563.0500000000001,569.69
4,Algeria,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
5,American Samoa,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
5,American Samoa,2761.0,Freshwater Fish,tilapia,0.0,20.0,0.0,0.0,20.0,20.0
5,American Samoa,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,28.0,0.0,28.0
5,American Samoa,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,3289.0,0.0,3289.0
5,American Samoa,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,9.0,0.0,9.0
5,American Samoa,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,1.0,0.0,1.0
5,American Samoa,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
5,American Samoa,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
6,Andorra,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
7,Angola,2761.0,Freshwater Fish,catfish,0.0,27.0,0.0,23500.0,27.0,23527.0
7,Angola,2761.0,Freshwater Fish,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
