item_index,item,footprint,footprint_type
Afghanistan,Bovine Meat,28.85748566777954,kg_co2e
Afghanistan,Mutton & Goat Meat,9.04283433866401,kg_co2e
Afghanistan,Poultry Meat,4.10359964321791,kg_co2e
Albania,Bovine Meat,15.078488327933854,kg_co2e
Albania,Mutton & Goat Meat,9.407299721678784,kg_co2e
Albania,Pigmeat,5.3391889173894524,kg_co2e
Albania,Poultry Meat,1.4337248110932734,kg_co2e
Algeria,Bovine Meat,19.646679300812785,kg_co2e
Algeria,Mutton & Goat Meat,11.57511998598394,kg_co2e
Algeria,Poultry Meat,6.162272322129065,kg_co2e
Andorra,Poultry Meat,1.0451644450749433,kg_co2e
Angola,Bovine Meat,98.06651208700741,kg_co2e
Angola,Mutton & Goat Meat,43.87777594762932,kg_co2e
Angola,Pigmeat,3.81774960543196,kg_co2e
Angola,Poultry Meat,1.4626349774416858,kg_co2e
Anguilla,Poultry Meat,1.6583484511756965,kg_co2e
Antigua and Barbuda,Bovine Meat,11.702627217679288,kg_co2e
Antigua and Barbuda,Mutton & Goat Meat,22.989247717093956,kg_co2e
Antigua and Barbuda,Poultry Meat,2.6161484953123075,kg_co2e
Argentina,Bovine Meat,38.90786362285781,kg_co2e
Argentina,Mutton & Goat Meat,28.53810813571531,kg_co2e
Argentina,Pigmeat,8.893195520382951,kg_co2e
Argentina,Poultry Meat,4.6141144657552084,kg_co2e
Armenia,Bovine Meat,19.337157092974156,kg_co2e
Armenia,Mutton & Goat Meat,9.111755497126977,kg_co2e
Armenia,Pigmeat,5.273734754933814,kg_co2e
Armenia,Poultry Meat,3.065110112657935,kg_co2e
Australia,Bovine Meat,44.49474969722234,kg_co2e
Australia,Mutton & Goat Meat,22.729931215276657,kg_co2e
Australia,Pigmeat,9.764176846352852,kg_co2e
Australia,Poultry Meat,3.108271346270379,kg_co2e
Austria,Bovine Meat,20.441758167325002,kg_co2e
Austria,Mutton & Goat Meat,20.916779731442677,kg_co2e
Austria,Pigmeat,5.620240335830901,kg_co2e
Austria,Poultry Meat,1.62433029313948,kg_co2e
Azerbaijan,Bovine Meat,21.3534341576707,kg_co2e
Azerbaijan,Mutton & Goat Meat,35.1061688557407,kg_co2e
Azerbaijan,Poultry Meat,4.134382375299781,kg_co2e
Bahamas,Mutton & Goat Meat,15.875680830899045,kg_co2e
Bahamas,Poultry Meat,9.977680326707873,kg_co2e
Bahrain,Mutton & Goat Meat,36.75418342999311,kg_co2e
Bahrain,Poultry Meat,0.2667954787085323,kg_co2e
Bangladesh,Bovine Meat,65.88253152890958,kg_co2e
Bangladesh,Mutton & Goat Meat,11.145846295789912,kg_co2e
Bangladesh,Poultry Meat,5.2085946114848936,kg_co2e
Barbados,Mutton & Goat Meat,16.64545992632804,kg_co2e
Barbados,Pigmeat,4.743330070330822,kg_co2e
Barbados,Poultry Meat,2.620082021029063,kg_co2e
Belarus,Bovine Meat,20.595469094515288,kg_co2e
Belarus,Mutton & Goat Meat,19.057948081256583,kg_co2e
Belarus,Pigmeat,5.03714649540937,kg_co2e
Belarus,Poultry Meat,2.4538925543671755,kg_co2e
Belgium,Bovine Meat,26.052831635838718,kg_co2e
Belgium,Mutton & Goat Meat,21.583936013370074,kg_co2e
Belgium,Pigmeat,7.235967632251089,kg_co2e
Belgium,Poultry Meat,3.1913724919886577,kg_co2e
Belize,Bovine Meat,88.28711828506258,kg_co2e
Belize,Poultry Meat,1.261172334642694,kg_co2e
Benin,Bovine Meat,84.97701644934672,kg_co2e
Benin,Mutton & Goat Meat,27.094215909084653,kg_co2e
Benin,Pigmeat,11.843617234164197,kg_co2e
Benin,Poultry Meat,19.58004194689722,kg_co2e
Bhutan,Bovine Meat,30.04427280447289,kg_co2e
Bhutan,Mutton & Goat Meat,30.008185448664182,kg_co2e
Bhutan,Poultry Meat,1.8281439261860952,kg_co2e
Bolivia (Plurinational State of),Bovine Meat,82.69029272588405,kg_co2e
Bolivia (Plurinational State of),Mutton & Goat Meat,27.28815483166946,kg_co2e
Bolivia (Plurinational State of),Pigmeat,8.22468412058139,kg_co2e
Bolivia (Plurinational State of),Poultry Meat,6.332195572277948,kg_co2e
Bosnia and Herzegovina,Bovine Meat,14.944196016924318,kg_co2e
Bosnia and Herzegovina,Mutton & Goat Meat,13.504508401451716,kg_co2e
Bosnia and Herzegovina,Pigmeat,4.462482803105994,kg_co2e
Bosnia and Herzegovina,Poultry Meat,2.698930640210899,kg_co2e
Botswana,Bovine Meat,70.69650303552946,kg_co2e
Botswana,Mutton & Goat Meat,31.489699873740992,kg_co2e
Botswana,Pigmeat,5.47572631765522,kg_co2e
Botswana,Poultry Meat,1.7193461183727776,kg_co2e
Brazil,Bovine Meat,68.10086861654614,kg_co2e
Brazil,Mutton & Goat Meat,31.417709149156916,kg_co2e
Brazil,Pigmeat,8.15841836258426,kg_co2e
Brazil,Poultry Meat,3.5940235898815667,kg_co2e
British Virgin Islands,Poultry Meat,1.6583488366462849,kg_co2e
Brunei Darussalam,Poultry Meat,2.7925937124946087,kg_co2e
Bulgaria,Bovine Meat,14.716311824088779,kg_co2e
Bulgaria,Mutton & Goat Meat,9.361832598650537,kg_co2e
Bulgaria,Pigmeat,6.245008872843899,kg_co2e
Bulgaria,Poultry Meat,1.8339530233590788,kg_co2e
Burkina Faso,Bovine Meat,77.50516028415346,kg_co2e
Burkina Faso,Mutton & Goat Meat,28.053905120965645,kg_co2e
Burkina Faso,Pigmeat,7.243614934570475,kg_co2e
Burkina Faso,Poultry Meat,13.053002345884408,kg_co2e
Burundi,Bovine Meat,38.16018644977962,kg_co2e
Burundi,Mutton & Goat Meat,28.38901085697623,kg_co2e
Burundi,Pigmeat,5.139803733749445,kg_co2e
Burundi,Poultry Meat,2.60641423201569,kg_co2e
Cabo Verde,Pigmeat,25.409696777736595,kg_co2e
Cambodia,Bovine Meat,60.18353138163241,kg_co2e
Cambodia,Mutton & Goat Meat,32.45287837076312,kg_co2e
Cambodia,Pigmeat,6.081113134060631,kg_co2e
Cambodia,Poultry Meat,6.936513432713662,kg_co2e
Cameroon,Bovine Meat,109.75200411570414,kg_co2e
Cameroon,Mutton & Goat Meat,26.510743634749016,kg_co2e
Cameroon,Pigmeat,3.8602042221072645,kg_co2e
Cameroon,Poultry Meat,4.466062165626076,kg_co2e
Canada,Bovine Meat,22.303619560463833,kg_co2e
Canada,Mutton & Goat Meat,30.203556335143446,kg_co2e
Canada,Pigmeat,3.685173054573277,kg_co2e
Canada,Poultry Meat,1.5543300273322485,kg_co2e
Cayman Islands,Mutton & Goat Meat,26.475590999961945,kg_co2e
Central African Republic,Bovine Meat,105.34377882713814,kg_co2e
