country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
ABW,Poultry Meat,extensive,0.0071403670438066075,,0.0071403670438066075
AFE,Poultry Meat,extensive,0.37883108403716637,,0.37883108403716637
AFG,Poultry Meat,extensive,0.7428761674286631,0.98,0.98
AFW,Poultry Meat,extensive,0.32337696549836603,,0.32337696549836603
AGO,Poultry Meat,extensive,0.18953583074119193,,0.18953583074119193
ALB,Poultry Meat,extensive,0.04250125844728269,0.5,0.5
ARB,Poultry Meat,extensive,0.04851478124678212,,0.04851478124678212
ARE,Poultry Meat,extensive,0.002435184367589283,,0.002435184367589283
ARG,Poultry Meat,extensive,0.02098385783939029,,0.02098385783939029
ARM,Poultry Meat,extensive,0.04424145694437255,,0.04424145694437255
ATG,Poultry Meat,extensive,0.025981623489168944,,0.025981623489168944
AUS,Poultry Meat,extensive,0.004531973645743194,,0.004531973645743194
AUT,Poultry Meat,extensive,0.003884728575680493,0.01,0.01
AZE,Poultry Meat,extensive,0.042956936204423125,0.2,0.2
BDI,Poultry Meat,extensive,0.9224726816457635,0.9,0.9
BEL,Poultry Meat,extensive,0.004220262504252235,0.01,0.01
BEN,Poultry Meat,extensive,0.40409587387359197,0.8,0.8
BFA,Poultry Meat,extensive,0.5963087073234103,0.98,0.98
BGD,Poultry Meat,extensive,0.1894184895087658,0.81,0.81
BGR,Poultry Meat,extensive,0.01672162368179949,0.28,0.28
BHR,Poultry Meat,extensive,0.004597515664777156,,0.004597515664777156
BHS,Poultry Meat,extensive,0.011327481895937835,,0.011327481895937835
BIH,Poultry Meat,extensive,0.037133134789005776,,0.037133134789005776
BLR,Poultry Meat,extensive,0.024515080421117785,,0.024515080421117785
BLZ,Poultry Meat,extensive,0.10142862623356011,0.05,0.05
BMU,Poultry Meat,extensive,0.0018784937361307071,,0.0018784937361307071
BOL,Poultry Meat,extensive,0.11658575174117179,,0.11658575174117179
BRA,Poultry Meat,extensive,0.0421233260467665,0.05,0.05
BRB,Poultry Meat,extensive,0.046758967283854584,,0.046758967283854584
BRN,Poultry Meat,extensive,0.0032002509379234967,,0.0032002509379234967
BTN,Poultry Meat,extensive,0.07003062627379754,,0.07003062627379754
BWA,Poultry Meat,extensive,0.0408815219241962,,0.0408815219241962
CAF,Poultry Meat,extensive,0.8964294231720625,0.7000000000000001,0.7000000000000001
CAN,Poultry Meat,extensive,0.0048648834252264855,0.01,0.01
CEB,Poultry Meat,extensive,0.009207087228727496,,0.009207087228727496
CHE,Poultry Meat,extensive,0.0023536998838886245,0.01,0.01
CHL,Poultry Meat,extensive,0.015487031403334585,,0.015487031403334585
CHN,Poultry Meat,extensive,0.030155014167882355,,0.030155014167882355
CIV,Poultry Meat,extensive,0.22083158748843018,0.6,0.6
CMR,Poultry Meat,extensive,0.3570712743901907,0.7000000000000001,0.7000000000000001
COD,Poultry Meat,extensive,0.8454119010919443,0.9,0.9
COG,Poultry Meat,extensive,0.4159848479286751,,0.4159848479286751
COL,Poultry Meat,extensive,0.04183738056379298,,0.04183738056379298
COM,Poultry Meat,extensive,0.4168002305289569,0.72,0.72
CPV,Poultry Meat,extensive,0.18001566772745445,,0.18001566772745445
CRI,Poultry Meat,extensive,0.021574707287151357,,0.021574707287151357
CSS,Poultry Meat,extensive,0.036705225326904636,,0.036705225326904636
CUW,Poultry Meat,extensive,0.022362054558156305,,0.022362054558156305
CYM,Poultry Meat,extensive,0.002585829605731001,,0.002585829605731001
CYP,Poultry Meat,extensive,0.006274454303813849,,0.006274454303813849
CZE,Poultry Meat,extensive,0.00654885554683182,0.01,0.01
DEU,Poultry Meat,extensive,0.004012289497329733,0.01,0.01
DJI,Poultry Meat,extensive,0.24748549400989647,,0.24748549400989647
DMA,Poultry Meat,extensive,0.07036087879298696,,0.07036087879298696
DNK,Poultry Meat,extensive,0.003423853057420382,0.01,0.01
DOM,Poultry Meat,extensive,0.027245673557018322,,0.027245673557018322
DZA,Poultry Meat,extensive,0.06859696661770073,,0.06859696661770073
EAP,Poultry Meat,extensive,0.03837982606510204,,0.03837982606510204
EAR,Poultry Meat,extensive,0.09087022335808367,,0.09087022335808367
EAS,Poultry Meat,extensive,0.02737411117176488,,0.02737411117176488
ECA,Poultry Meat,extensive,0.018958243699655594,,0.018958243699655594
ECS,Poultry Meat,extensive,0.00844355934487858,,0.00844355934487858
ECU,Poultry Meat,extensive,0.07274606425333062,,0.07274606425333062
EGY,Poultry Meat,extensive,0.06329775570676514,0.34,0.34
EMU,Poultry Meat,extensive,0.0051742511148740265,,0.0051742511148740265
ESP,Poultry Meat,extensive,0.007473234601847757,0.01,0.01
EST,Poultry Meat,extensive,0.007190751501387686,,0.007190751501387686
ETH,Poultry Meat,extensive,0.5684734603802091,0.96,0.96
EUU,Poultry Meat,extensive,0.005652863269910219,,0.005652863269910219
FCS,Poultry Meat,extensive,0.291087530158436,,0.291087530158436
FIN,Poultry Meat,extensive,0.004708120894442474,0.01,0.01
FJI,Poultry Meat,extensive,0.07650360432803037,,0.07650360432803037
FRA,Poultry Meat,extensive,0.005456967755915929,0.01,0.01
FSM,Poultry Meat,extensive,0.40494410884547477,,0.40494410884547477
GAB,Poultry Meat,extensive,0.04640806672073224,0.7000000000000001,0.7000000000000001
GBR,Poultry Meat,extensive,0.005460182249185033,0.01,0.01
GEO,Poultry Meat,extensive,0.03790390767308697,0.89,0.89
GHA,Poultry Meat,extensive,0.21438555197073236,0.8,0.8
GIN,Poultry Meat,extensive,0.508952223879526,,0.508952223879526
GMB,Poultry Meat,extensive,0.617695014155168,0.8,0.8
GNB,Poultry Meat,extensive,0.6708454941554369,,0.6708454941554369
GNQ,Poultry Meat,extensive,0.041896041123050065,,0.041896041123050065
GRC,Poultry Meat,extensive,0.0117955183100146,0.13,0.13
GRD,Poultry Meat,extensive,0.04716015081317653,,0.04716015081317653
GTM,Poultry Meat,extensive,0.09834585085722075,0.28,0.28
GUY,Poultry Meat,extensive,0.020299419621587697,,0.020299419621587697
HIC,Poultry Meat,extensive,0.004474267020044988,,0.004474267020044988
HKG,Poultry Meat,extensive,0.00321490162029676,,0.00321490162029676
HND,Poultry Meat,extensive,0.20674116227055955,0.26,0.26
HPC,Poultry Meat,extensive,0.5306323317078065,,0.5306323317078065
HRV,Poultry Meat,extensive,0.010411661951984051,,0.010411661951984051
HTI,Poultry Meat,extensive,0.4704248751296503,,0.4704248751296503
HUN,Poultry Meat,extensive,0.00932836649941633,,0.00932836649941633
IBD,Poultry Meat,extensive,0.04626803950491026,,0.04626803950491026
IBT,Poultry Meat,extensive,0.0673225975503847,,0.0673225975503847
IDA,Poultry Meat,extensive,0.34926300164608676,,0.34926300164608676
IDB,Poultry Meat,extensive,0.2388379526941304,,0.2388379526941304
IDN,Poultry Meat,extensive,0.06061884176381938,0.24,0.24
IDX,Poultry Meat,extensive,0.4281573554128424,,0.4281573554128424
