country_iso_code,fbs_item,system,proportion_obs
AFG,Pigmeat,extensive,0.0
ASM,Pigmeat,extensive,0.14
ARG,Pigmeat,extensive,0.22
AUT,Pigmeat,extensive,0.018000000000000002
BHR,Pigmeat,extensive,0.0
BGD,Pigmeat,extensive,0.99
BEL,Pigmeat,extensive,0.0
BEN,Pigmeat,extensive,0.8
BTN,Pigmeat,extensive,0.51
BOL,Pigmeat,extensive,0.2
BWA,Pigmeat,extensive,0.99
BRA,Pigmeat,extensive,0.35000000000000003
BGR,Pigmeat,extensive,0.203
BFA,Pigmeat,extensive,0.93
BDI,Pigmeat,extensive,0.9
KHM,Pigmeat,extensive,0.8
CMR,Pigmeat,extensive,0.6
CAN,Pigmeat,extensive,0.0
CPV,Pigmeat,extensive,0.99
TCD,Pigmeat,extensive,1.0
CHL,Pigmeat,extensive,0.05
COL,Pigmeat,extensive,0.5
COM,Pigmeat,extensive,0.0
CRI,Pigmeat,extensive,0.1
HRV,Pigmeat,extensive,0.245
CYP,Pigmeat,extensive,0.004
CZE,Pigmeat,extensive,0.003
CIV,Pigmeat,extensive,0.55
COD,Pigmeat,extensive,0.65
DNK,Pigmeat,extensive,0.0
DJI,Pigmeat,extensive,0.0
SLV,Pigmeat,extensive,0.53
EST,Pigmeat,extensive,0.009000000000000001
FIN,Pigmeat,extensive,0.0
FRA,Pigmeat,extensive,0.002
GMB,Pigmeat,extensive,0.9
DEU,Pigmeat,extensive,0.002
GHA,Pigmeat,extensive,0.6
GRC,Pigmeat,extensive,0.038
GTM,Pigmeat,extensive,0.48
GIN,Pigmeat,extensive,0.88
HND,Pigmeat,extensive,0.26
HUN,Pigmeat,extensive,0.13699999999999998
ISL,Pigmeat,extensive,0.0
IND,Pigmeat,extensive,0.77
IRN,Pigmeat,extensive,0.0
IRQ,Pigmeat,extensive,0.0
IRL,Pigmeat,extensive,0.001
ITA,Pigmeat,extensive,0.006
JAM,Pigmeat,extensive,0.56
JOR,Pigmeat,extensive,0.0
KEN,Pigmeat,extensive,0.56
KWT,Pigmeat,extensive,0.0
LAO,Pigmeat,extensive,0.85
LVA,Pigmeat,extensive,0.11
LSO,Pigmeat,extensive,0.78
LBY,Pigmeat,extensive,0.0
LTU,Pigmeat,extensive,0.195
