country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
1,Armenia,baseline,2511,Wheat and products,Grains,plant,139.03520460520735,1.0
1,Armenia,baseline,2513,Barley and products,Grains,plant,4.251849291832754,1.0
1,Armenia,baseline,2514,Maize and products,Grains,plant,10.48351942159274,1.0
1,Armenia,baseline,2515,Rye and products,Grains,plant,0.1149999999999999,1.0
1,Armenia,baseline,2516,Oats,Grains,plant,0.55,1.0
1,Armenia,baseline,2520,"Cereals, Other",Grains,plant,2.99693134594182,1.0
1,Armenia,baseline,2531,Potatoes and products,Starchy roots,plant,57.25082414553472,1.0
1,Armenia,baseline,2537,Sugar beet,Sugars,plant,1.102535832414553,1.0
1,Armenia,baseline,2542,Sugar (Raw Equivalent),Sugars,plant,28.389999999999997,0.9999999999999999
1,Armenia,baseline,2543,"Sweeteners, Other",Sugars,plant,25.6125,1.0
1,Armenia,baseline,2546,Beans,Pulses and soy,plant,1.3475,1.0
1,Armenia,baseline,2549,"Pulses, Other and products",Pulses and soy,plant,0.9525000000000001,0.9999999999999999
1,Armenia,baseline,2551,Nuts and products,Nuts and seeds,plant,1.8000000000000005,1.0
1,Armenia,baseline,2555,Soyabeans,Pulses and soy,plant,0.010000000000000002,1.0000000000000002
1,Armenia,baseline,2556,Groundnuts (Shelled Eq),Nuts and seeds,plant,0.49750000000000005,1.0
1,Armenia,baseline,2560,Coconuts - Incl Copra,Nuts and seeds,plant,0.03,1.0
1,Armenia,baseline,2561,Sesame seed,Nuts and seeds,plant,0.029999999999999995,0.9999999999999998
1,Armenia,baseline,2563,Olives (including preserved),Vegetables,plant,0.915,1.0
1,Armenia,baseline,2570,"Oilcrops, Other",Nuts and seeds,plant,0.0424999999999999,1.0
1,Armenia,baseline,2571,Soyabean Oil,Vegetable oils,plant,0.2125,1.0
1,Armenia,baseline,2573,Sunflowerseed Oil,Vegetable oils,plant,6.904999999999999,1.0
1,Armenia,baseline,2578,Coconut Oil,Vegetable oils,plant,0.165,1.0
1,Armenia,baseline,2580,Olive Oil,Vegetable oils,plant,0.03,1.0
1,Armenia,baseline,2582,Maize Germ Oil,Vegetable oils,plant,0.1425,1.0
1,Armenia,baseline,2586,"Oilcrops Oil, Other",Vegetable oils,plant,2.2924999999999995,1.0
1,Armenia,baseline,2601,Tomatoes and products,Vegetables,plant,61.007417945890936,1.0
1,Armenia,baseline,2602,Onions,Vegetables,plant,16.819620897294545,1.0
1,Armenia,baseline,2605,"Vegetables, Other",Vegetables,plant,212.31346281061823,1.0
1,Armenia,baseline,2611,"Oranges, Mandarines",Fruits,plant,5.915000000000001,1.0
1,Armenia,baseline,2612,"Lemons, Limes and products",Fruits,plant,0.8600000000000001,1.0
1,Armenia,baseline,2613,Grapefruit and products,Fruits,plant,0.5325,1.0
1,Armenia,baseline,2614,"Citrus, Other",Fruits,plant,0.015000000000000001,1.0000000000000002
1,Armenia,baseline,2615,Bananas,Fruits,plant,5.68,1.0
1,Armenia,baseline,2616,Plantains,Fruits,plant,0.0275,1.0
1,Armenia,baseline,2617,Apples and products,Fruits,plant,19.766659740480023,1.0
1,Armenia,baseline,2618,Pineapples and products,Fruits,plant,0.365,0.9999999999999999
1,Armenia,baseline,2619,Dates,Fruits,plant,0.2525,1.0
1,Armenia,baseline,2620,Grapes and products (excl wine),Fruits,plant,19.84105525400729,1.0
1,Armenia,baseline,2625,"Fruits, Other",Fruits,plant,70.45468217284369,1.0
1,Armenia,baseline,2731,Bovine Meat,Bovine meat,t_animal,23.004052243236373,1.0
1,Armenia,baseline,2732,Mutton & Goat Meat,Sheep and goat meat,t_animal,3.025,1.0
1,Armenia,baseline,2733,Pigmeat,Pig meat,t_animal,7.667310448647273,1.0
1,Armenia,baseline,2734,Poultry Meat,Poultry,t_animal,15.269620897294546,1.0
1,Armenia,baseline,2736,"Offals, Edible",Offals,t_animal,6.454241794589094,1.0
1,Armenia,baseline,2740,"Butter, Ghee",Dairy,t_animal,1.5525,1.0
1,Armenia,baseline,2743,Cream,Dairy,t_animal,0.025,1.0
1,Armenia,baseline,2744,Eggs,Eggs,t_animal,11.861741794589094,1.0
1,Armenia,baseline,2745,Honey,Sugars,plant,0.7175,1.0
1,Armenia,baseline,2761,Freshwater Fish,Aquatic animals,a_animal,4.5375,1.0
1,Armenia,baseline,2762,Demersal Fish,Aquatic animals,a_animal,0.145,1.0
1,Armenia,baseline,2763,Pelagic Fish,Aquatic animals,a_animal,0.73,1.0
1,Armenia,baseline,2764,"Marine Fish, Other",Aquatic animals,a_animal,0.165,1.0
1,Armenia,baseline,2765,Crustaceans,Aquatic animals,a_animal,0.38,1.0
1,Armenia,baseline,2766,Cephalopods,Aquatic animals,a_animal,0.0075,1.0
1,Armenia,baseline,2767,"Molluscs, Other",Aquatic animals,a_animal,0.03,1.0
1,Armenia,baseline,2805,Rice (Milled Equivalent),Grains,plant,3.2275,1.0
1,Armenia,baseline,2848,Milk - Excluding Butter,Dairy,t_animal,221.0275,1.0
1,Armenia,eat_lancet,2511,Wheat and products,Grains,plant,108.56106984440883,1.0
1,Armenia,eat_lancet,2513,Barley and products,Grains,plant,2.5895350836818865,1.0
1,Armenia,eat_lancet,2514,Maize and products,Grains,plant,6.384855031155857,1.0
1,Armenia,eat_lancet,2515,Rye and products,Grains,plant,0.0700392968291337,1.0
1,Armenia,eat_lancet,2516,Oats,Grains,plant,0.3349705500523793,1.0
1,Armenia,eat_lancet,2520,"Cereals, Other",Grains,plant,1.8252431662169983,1.0
1,Armenia,eat_lancet,2531,Potatoes and products,Starchy roots,plant,23.491155901662257,1.0
1,Armenia,eat_lancet,2542,Sugar (Raw Equivalent),Sugars,plant,5.87048336988304,0.9999999999999999
1,Armenia,eat_lancet,2543,"Sweeteners, Other",Sugars,plant,5.296152001096491,1.0
1,Armenia,eat_lancet,2546,Beans,Pulses and soy,plant,17.07699743300606,1.0
1,Armenia,eat_lancet,2549,"Pulses, Other and products",Pulses and soy,plant,12.071124345037678,0.9999999999999999
1,Armenia,eat_lancet,2551,Nuts and products,Nuts and seeds,plant,15.070861954207702,1.0
1,Armenia,eat_lancet,2555,Soyabeans,Pulses and soy,plant,0.12673096425236413,1.0000000000000002
1,Armenia,eat_lancet,2556,Groundnuts (Shelled Eq),Nuts and seeds,plant,4.165418790121296,1.0
1,Armenia,eat_lancet,2561,Sesame seed,Nuts and seeds,plant,0.2511810325701283,0.9999999999999998
1,Armenia,eat_lancet,2571,Soyabean Oil,Vegetable oils,plant,0.4340678558936691,1.0
1,Armenia,eat_lancet,2573,Sunflowerseed Oil,Vegetable oils,plant,14.10465197621546,1.0
1,Armenia,eat_lancet,2580,Olive Oil,Vegetable oils,plant,0.0612801678908709,1.0
1,Armenia,eat_lancet,2601,Tomatoes and products,Vegetables,plant,25.84754088748576,1.0
1,Armenia,eat_lancet,2602,Onions,Vegetables,plant,7.1261143889160845,1.0
1,Armenia,eat_lancet,2605,"Vegetables, Other",Vegetables,plant,89.95268273488314,1.0
1,Armenia,eat_lancet,2611,"Oranges, Mandarines",Fruits,plant,3.890174509771713,1.0
1,Armenia,eat_lancet,2612,"Lemons, Limes and products",Fruits,plant,0.5656044088594545,1.0
1,Armenia,eat_lancet,2613,Grapefruit and products,Fruits,plant,0.350214357811232,1.0
1,Armenia,eat_lancet,2614,"Citrus, Other",Fruits,plant,0.009865193177781102,1.0000000000000002
1,Armenia,eat_lancet,2615,Bananas,Fruits,plant,3.735619816653141,1.0
