species,system,item,attribute,country,value
Cattle,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
