country_iso_code,country,supply_side_kg_tiseo,supply_side_kg,diff,%_diff
ARM,Armenia,1.6309563027e+16,1.2810747002719904e+16,-3498816024280096.0,-0.21452543017172865
AFG,Afghanistan,8.241347077e+16,1.027572771367713e+16,-7.213774305632286e+16,-0.8753149501207794
ALB,Albania,1.2653690783e+16,7559944632465441.0,-5093746150534559.0,-0.402550231224072
DZA,Algeria,9.0877654485e+16,8843447044706127.0,-8.203420744029387e+16,-0.9026884321033417
AGO,Angola,1.11e+17,9928198230337458.0,-1.0107180176966254e+17,-0.9105567726996625
ATG,Antigua and Barbuda,188897518700000.0,0.0,-188897518700000.0,-1.0
ARG,Argentina,1.4e+18,5.684374083419914e+17,-8.315625916580086e+17,-0.5939732797557205
AUS,Australia,3.05e+17,8.20399097007092e+17,5.15399097007092e+17,1.6898331049412851
AUT,Austria,4.4692e+16,2.85413704462477e+16,-1.61506295537523e+16,-0.3613762989741408
BHS,Bahamas,1301642050000000.0,348173381639103.7,-953468668360896.2,-0.7325121897843545
BRB,Barbados,3265856684000000.0,1893822156849131.5,-1372034527150868.5,-0.42011473861443593
BGD,Bangladesh,1.58e+17,5.28936335086248e+16,-1.051063664913752e+17,-0.6652301676669317
BOL,Bolivia (Plurinational State of),2.8e+17,8.219104589701269e+16,-1.9780895410298733e+17,-0.7064605503678119
BWA,Botswana,3.7062967703e+16,1349004230544681.5,-3.571396347245532e+16,-0.9636023687753561
BRA,Brazil,7.33e+18,2.58661738939244e+18,-4.743382610607561e+18,-0.6471190464676072
BLZ,Belize,4491967008000000.0,1724661955085769.2,-2767305052914231.0,-0.6160564064664277
SLB,Solomon Islands,755079758200000.0,568442256094823.5,-186637502105176.5,-0.2471758778835405
BGR,Bulgaria,4.9578e+16,2.0161958160593904e+16,-2.9416041839406096e+16,-0.5933285295777582
MMR,Myanmar,4.54e+17,2.7858473708002355e+17,-1.7541526291997645e+17,-0.3863772311012697
BDI,Burundi,1.3887534876e+16,788304626330854.2,-1.3099230249669146e+16,-0.9432365330946404
CMR,Cameroon,7.8602940407e+16,7615802239495558.0,-7.098713816750444e+16,-0.9031104663507304
CAN,Canada,9.49e+17,5.076554169812374e+17,-4.413445830187626e+17,-0.4650627850566519
CPV,Cabo Verde,2328902004000000.0,96002149400567.27,-2232899854599432.8,-0.9587779351661517
CAF,Central African Republic,6.4087266353e+16,4529971854645404.0,-5.955729449835459e+16,-0.929315570589424
LKA,Sri Lanka,3.3410322694e+16,1.977823154514478e+16,-1.363209114885522e+16,-0.40802033771746066
TCD,Chad,8.4340318434e+16,1.857513013443837e+16,-6.576518829956163e+16,-0.7797597818062043
CHL,Chile,6.31e+17,2.0767961075156474e+17,-4.2332038924843526e+17,-0.6708722492051272
CHN,"China, mainland",4.2e+19,2.354481677302232e+19,-1.845518322697768e+19,-0.43940912445184954
COL,Colombia,8.28e+17,2.362189245035579e+17,-5.917810754964421e+17,-0.7147114438362827
COM,Comoros,567941432200000.0,50893059764716.8,-517048372435283.2,-0.9103903028036263
COG,Congo,6757871948000000.0,374752992928576.4,-6383118955071424.0,-0.9445457096831371
CRI,Costa Rica,6.2128974778e+16,3.6239689751486936e+16,-2.5889285026513064e+16,-0.4167022732794315
CUB,Cuba,5.0354316843e+16,6.4007749565227144e+16,1.3653432722227144e+16,0.27114721394785785
CYP,Cyprus,4.5433e+16,2.559551340859595e+16,-1.983748659140405e+16,-0.43663166842172096
AZE,Azerbaijan,4.146522371e+16,2.4232963431836836e+16,-1.7232260278163164e+16,-0.4155834392377179
BEN,Benin,3.0636305703e+16,2076137362418503.8,-2.8560168340581496e+16,-0.9322327769364437
