country,new_name
Bolivia (Plurinational State of),Bolivia
"China, Hong Kong SAR",Hong Kong
"China, Macao SAR",Macao
"China, Taiwan Province of",Taiwan
Iran (Islamic Republic of),Iran
Republic of Korea,South Korea
Russian Federation,Russia
The former Yugoslav Republic of Macedonia,Republic of Macedonia
United Republic of Tanzania,Tanzania
United States of America,United States
Venezuela (Bolivarian Republic of),Venezuela
Côte d'Ivoire,Cote d'Ivoire
United Kingdom of Great Britain and Northern Ireland,United Kingdom
Brunei Darussalam,Brunei
Republic of Moldova,Moldova
Micronesia (Federated States of),Micronesia
