output_group,food_group
Grains,Grains and starchy roots
Sheep and goat meat,"Bovine, sheep & goat meat"
Fruits,Other plant foods
Pig meat,Poultry and pig meat
Nuts and seeds,Other plant foods
Vegetable oils,Other plant foods
Starchy roots,Grains and starchy roots
Bovine meat,"Bovine, sheep & goat meat"
Aquatic animals,Aquatic animals
Sugars,Other plant foods
Eggs,Eggs
Dairy,Dairy
Poultry,Poultry and pig meat
Pulses and soy,Other plant foods
Vegetables,Other plant foods
Offals,Pig meat
Insects,Insects
