FishstatJ commodity metadata for trade matrix,,
FAO. 2021. Fishery and Aquaculture Statistics. Global fish trade - By partner country. 2019 (FishstatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2021. www.fao.org/fishery/statistics/software/fishstatj/en,,
FAO_CODE,NAME.EN,EBXID
034.1.5.1.50,"Flounder, fresh or chilled",1
034.1.5.2.45,"Alaska pollock, fresh or chilled",2
034.4.1.5.3.80,"Atka mackerel fillets, frozen",3
034.1.2.1.30,Trouts and chars live,4
034.1.2.1.90,"Fish live, nei",5
034.1.1.2.90,"Fish for culture incl. ova, fingerlings etc.",6
034.1.3.1.10,"Carps, fresh or chilled",7
034.1.3.2.20,"Tilapias, fresh or chilled",8
034.1.3.9.30,"Catfish, fresh or chilled",9
034.1.3.9.90,"Freshwater fish, nei, fresh or chilled",10
034.1.4.1.10,"Sturgeons, fresh or chilled",11
034.1.4.2.10,"Eels, fresh or chilled",12
034.1.4.2.11,"Elvers, fresh or chilled",13
034.1.4.3.10,"Whitefishes, fresh or chilled",14
034.1.4.3.20,"Atlantic and Danube salmons, fresh or chilled",15
034.1.4.3.30,"Pacific salmons, fresh or chilled",16
034.1.4.3.39,"Salmons, fresh or chilled, nei",17
034.1.4.3.50,"Trouts and chars, fresh or chilled",18
034.1.4.3.90,"Salmonoids, fresh or chilled, nei",19
034.1.5.1.11,"Atlantic halibut, fresh or chilled",20
034.1.5.1.12,"Pacific halibut, fresh or chilled",21
034.1.5.1.13,"Greenland halibut, fresh or chilled",22
034.1.5.1.19,"Halibuts, fresh or chilled, nei",23
034.1.5.1.39,"Plaices, fresh or chilled, nei",24
034.1.5.1.49,"Soles (Solea spp), fresh or chilled, nei",25
034.1.5.1.90,"Flatfish, fresh or chilled, nei",26
034.1.1.1,Fish for ornamental purposes,27
034.1.2.1,Miscellaneous fish live for human food,28
034.1.3.1,"Carps, barbels and other cyprinids, fresh or chilled",29
034.1.3.2,"Tilapias and other cichlids, fresh or chilled",30
034.1.3.9,"Miscellaneous freshwater fish, fresh or chilled",31
034.1.4.1,"Sturgeons, paddlefishes, fresh or chilled",32
034.1.4.2,"River eels, fresh or chilled",33
034.1.4.3,"Salmons, trouts, smelts, fresh or chilled",34
034.1.5.1,"Flounders, halibuts, soles, fresh or chilled",35
34,"Fish fresh (live or dead), chilled or frozen",36
34.1,"Fish, fresh (live or dead) or chilled (excluding fillets)",37
034.1.1,"Fish live, not for human consumption",38
034.1.2,"Fish live, for human consumption",39
034.1.3,"Freshwater fish, fresh or chilled",40
034.1.4,"Diadromous fish, fresh or chilled",41
034.1.5,"Marine fishes, fresh or chilled",42
034.1.5.2.11,"Atlantic cod, fresh or chilled",43
034.1.5.2.12,"Pacific cod, fresh or chilled",44
035.03.5.1.90,"Flatfish nei, smoked",45
034.1.5.2.30,"Haddock, fresh or chilled",46
034.1.5.2.40,"Saithe (=Pollock), fresh or chilled",47
034.1.5.2.53,"Whiting (Merlangius merlangus), fresh or chilled",48
034.1.5.2.90,"Gadiformes, fresh or chilled, nei",50
034.1.5.3.36,"Croakers, fresh or chilled",51
034.1.5.3.461,"Seabreams nei, fresh or chilled",52
034.1.5.4.41,"Atlantic redfishes, fresh or chilled",53
034.1.5.3.90,"Miscellaneous coastal fishes,nei, fresh or chilled",54
034.1.5.7.02,"Saury, fresh or chilled",55
034.1.5.7.70,"Jack and horse mackerels, fresh or chilled",56
035.03.4.3.50,"Trouts and chars, smoked",57
034.1.5.4.90,"Miscellaneous demersal fish,nei, fresh or chilled",58
034.1.5.5.11,"Atlantic herring, fresh or chilled",59
034.1.5.5.12,"Pacific herring, fresh or chilled",60
034.1.5.5.19,"Herrings, fresh or chilled, nei",61
034.1.5.5.40,"European sardine , fresh or chilled",62
034.1.5.5.29,"Pilchards(Sardinops spp.) and Sardinellas, fresh or chilled",63
034.1.5.5.50,"Brisling or sprats, fresh or chilled",64
034.1.5.5.60,"Anchovies (Engraulis spp), fresh or chilled",65
034.1.5.5.90,"Clupeoids, fresh or chilled, nei",66
034.1.5.2,"Cods, hakes, haddocks, fresh or chilled",67
034.1.5.3,"Miscellaneous coastal fish, fresh or chilled",68
034.1.5.4,"Miscellaneous demersal fish, fresh or chilled",69
034.1.5.5,"Herrings, sardines, anchovies, fresh or chilled",70
034.1.1.1.19,Ornamental fish nei,71
034.1.2.1.20,Eels and elvers live,72
034.1.5.2.19,"Cods, fresh or chilled, nei",73
034.1.5.7.75,"Amberjacks, fresh or chilled",74
034.4.4.1.4.2.39,"Salmon steaks, frozen",75
034.4.4.1.5.1.19,"Halibut steaks, frozen",76
034.4.4.1.5.1.90,"Flatfish steaks, frozen, nei",77
034.4.4.2.5.2.68,"Hake minced, frozen",78
034.2.5.7.62,"Atlantic mackerel, frozen",79
034.4.4.1.5.9.90,"Fish steaks, frozen, nei",80
034.4.4.2.5.9.91,"Fish minced (=surimi), frozen",81
35.02,"Fish, dried, salted or in brine",82
035.02.1,"Fish dried, whether or not salted, but not smoked",83
037.1.1.5.7.02,"Pacific sauries prepared or preserved, not minced",85
037.1.1.5.5.601,"Anchovies fillets, prepared or preserved",86
037.1.1.6.93,"Fish products (not minced), semi-preserved",87
035.02.1.5,"Marine fishes, dried, whether or not salted",88
034.1.5.2.70,"Ling, fresh or chilled",89
034.1.5.2.80,"Tusk, fresh or chilled",90
034.1.5.4.12,"Snoek, fresh or chilled",91
034.2.5.1.50,"Flounder, frozen",92
034.2.5.2.80,"Tusk, frozen",93
034.2.5.2.70,"Ling, frozen",94
034.2.5.7.08,"Pomfrets, ocean breams, frozen",95
034.2.5.6.10,"Bonito, frozen",96
034.2.5.4.12,"Snoek, frozen",97
034.2.9.1.21,"Cod roes, frozen",98
034.2.9.1.22,"Alaska pollock, roes, frozen",99
034.2.9.1.23,"Capelin roes, frozen",100
034.2.9.1.24,"Herring roes, frozen",101
034.2.9.1.26,"Salmon roes, frozen",102
034.3.1.5.4,"Miscellaneous demersal fish, fillets, fresh or chilled",103
034.3.1.5.4.90,"Miscellaneous demersal fish, fillets, fresh or chilled, nei,",104
034.3.1.4.2,"River eel fillets, fresh or chilled",105
034.3.1.4.2.10,"River eel fillets, fresh or chilled, nei",106
034.4.1.4.2,"River eel fillets, frozen",107
034.4.1.4.2.10,"River eel fillets, frozen, nei",108
034.4.1.4.3.391,"Salmon fillets, frozen",109
034.1.5.6.20,"Skipjack tuna, fresh or chilled",112
034.1.5.6.30,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled",113
034.1.5.6.40,"Albacore (=Longfin tuna), fresh or chilled",114
