food_loss_region,food_loss_group,loss_%_production,loss_%_postharvest,loss_%_milling,%_unproc,loss_%_proc,loss_%_dist_unproc,loss_%_dist_proc,loss_%_cons_unproc,loss_%_cons_proc,note
europe_incl_russia,cereals_excl_rice,0.02,0.04,0.005,0,0.1,0,0.02,0,0.25,
industrialized_asia,cereals_excl_rice,0.02,0.1,0.005,0,0.1,0,0.02,0,0.2,
latin_america,cereals_excl_rice,0.06,0.04,0.02,0,0.07,0,0.04,0,0.1,
n_africa_w_and_central_asia,cereals_excl_rice,0.06,0.08,0.02,0,0.07,0,0.04,0,0.12,
n_america_and_oceania,cereals_excl_rice,0.02,0.02,0.005,0,0.1,0,0.02,0,0.27,
s_and_se_asia,cereals_excl_rice,0.06,0.07,0.035,0,0.035,0,0.02,0,0.03,
sub_saharan_africa,cereals_excl_rice,0.06,0.08,0.035,0,0.035,0,0.02,0,0.01,
europe_incl_russia,eggs,0.04,0,0,0,0.005,0,0.02,0,0.08,
industrialized_asia,eggs,0.06,0,0,0,0.005,0,0.04,0,0.05,
latin_america,eggs,0.06,0,0,0,0.005,0,0.04,0,0.04,
n_africa_w_and_central_asia,eggs,0.06,0.08,0,0,0.02,0,0.04,0,0.12,Gustavson has two values for losses during processing; we only used the first value
n_america_and_oceania,eggs,0.04,0,0,0,0.005,0,0.02,0,0.15,
s_and_se_asia,eggs,0.08,0,0,0,0.001,0,0.03,0,0.02,
sub_saharan_africa,eggs,0.08,0,0,0,0.001,0,0.03,0,0.01,
europe_incl_russia,fish_and_seafood,0.094,0.005,0,0.04,0.06,0.09,0.05,0.11,0.1,
industrialized_asia,fish_and_seafood,0.15,0.02,0,0.04,0.06,0.11,0.05,0.08,0.07,
latin_america,fish_and_seafood,0.057,0.05,0,0.6,0.09,0.1,0.05,0.04,0.02,
n_africa_w_and_central_asia,fish_and_seafood,0.066,0.05,0,0.6,0.09,0.1,0.05,0.04,0.02,
n_america_and_oceania,fish_and_seafood,0.12,0.005,0,0.04,0.06,0.09,0.05,0.33,0.1,
s_and_se_asia,fish_and_seafood,0.082,0.06,0,0.6,0.09,0.15,0.1,0.02,0.01,
sub_saharan_africa,fish_and_seafood,0.057,0.06,0,0.6,0.09,0.15,0.1,0.02,0.01,
