gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note
Soy,236,Soybeans,Argentina,13.55,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Austria,0.12,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Belize,17.74,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Benin,16.28,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Bolivia,15.49,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching"
Soy,236,Soybeans,Brazil,10.79,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Burkina Faso,12.25,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Burundi,6.86,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Cambodia,12.21,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Cameroon,19.23,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Canada,0.02,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Croatia,0.87,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Czechia,0.31,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching"
Soy,236,Soybeans,Democratic Republic of the Congo,1.75,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,El Salvador,1.39,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Ethiopia,4.83,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Gabon,1.98,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,India,1.36,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Iran,0.08,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching"
Soy,236,Soybeans,Kazakhstan,2.4,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Lao People's Democratic Republic,7.04,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Liberia,15.61,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Madagascar,8.24,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Mali,6.46,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Myanmar,12.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Nepal,5.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Panama,1.38,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Paraguay,18.92,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Peru,17.1,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Republic of Moldova,2.15,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Russian Federation,0.07,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Rwanda,2.56,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Slovakia,0.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Slovenia,1,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,South Africa,0.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Sri Lanka,1.02,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,The former Yugoslav Republic of Macedonia,0.91,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Uganda,8.53,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Ukraine,0.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,United Republic of Tanzania,2.6,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,United States of America,0.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Uruguay,5.84,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Venezuela,8.16,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching"
Soy,236,Soybeans,Viet Nam,0.06,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Zambia,8.65,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Zimbabwe,0.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Angola,0.27,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
