country_code,country,country_iso_code,oecd,fishstat_country,gleam_country,region,gleam_region,food_loss_region,wf_country_crops,wf_country_animals,notes,income_class
0,World,,no,World,World,World,World,,Global Average,World Average,GLEAM - manually added category,Unclassified
1,Armenia,ARM,no,Armenia,Armenia,Near East and North Africa,Near East and North Africa,europe_incl_russia,Armenia,Armenia,,Upper middle income
2,Afghanistan,AFG,no,Afghanistan,Afghanistan,South Asia,South Asia,s_and_se_asia,Afghanistan,Afghanistan,,Low income
3,Albania,ALB,no,Albania,Albania,Europe,Western Europe,europe_incl_russia,Albania,Albania,,Upper middle income
4,Algeria,DZA,no,Algeria,Algeria,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Algeria,Algeria,,Lower middle income
5,American Samoa,ASM,no,American Samoa,American Samoa,Oceania,Oceania,n_america_and_oceania,American Samoa,,SE of Samoa,Upper middle income
6,Andorra,AND,no,Andorra,Andorra,Europe,Western Europe,europe_incl_russia,,,Microstate between France and Spain,High income
7,Angola,AGO,no,Angola,Angola,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Angola,Angola,,Lower middle income
8,Antigua and Barbuda,ATG,no,Antigua and Barbuda,Antigua and Barbuda,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Antigua and Barbuda,Antigua and Barbuda,,High income
9,Argentina,ARG,no,Argentina,Argentina,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Argentina,Argentina,,Upper middle income
10,Australia,AUS,yes,Australia,Australia,Oceania,Oceania,n_america_and_oceania,Australia,Australia,,High income
11,Austria,AUT,yes,Austria,Austria,Europe,Western Europe,europe_incl_russia,Austria,Austria,,High income
12,Bahamas,BHS,no,Bahamas,Bahamas,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Bahamas,Bahamas,,High income
13,Bahrain,BHR,no,Bahrain,Bahrain,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Bahrain,Bahrain,,High income
14,Barbados,BRB,no,Barbados,Barbados,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Barbados,Barbados,,High income
15,Belgium-Luxembourg,,no,Belgium-Luxembourg,,Europe,Western Europe,europe_incl_russia,,,Economic union between Belgium and Luxembourg,Unclassified
16,Bangladesh,BGD,no,Bangladesh,Bangladesh,South Asia,South Asia,s_and_se_asia,Bangladesh,Bangladesh,,Lower middle income
17,Bermuda,BMU,no,Bermuda,Bermuda,North America,North America,n_america_and_oceania,Bermuda,Bermuda,,High income
18,Bhutan,BTN,no,Bhutan,Bhutan,South Asia,South Asia,s_and_se_asia,Bhutan,Bhutan,,Lower middle income
19,Bolivia (Plurinational State of),BOL,no,Bolivia (Plurinat.State),Bolivia,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Bolivia,Bolivia,,Lower middle income
20,Botswana,BWA,no,Botswana,Botswana,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Botswana,Botswana,,Upper middle income
21,Brazil,BRA,no,Brazil,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Brazil,Brazil,,Upper middle income
22,Aruba,ABW,no,Aruba,Aruba,Latin America and the Caribbean,Latin America and the Caribbean,n_america_and_oceania,,,,High income
23,Belize,BLZ,no,Belize,Belize,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Belize,Belize,,Lower middle income
25,Solomon Islands,SLB,no,Solomon Islands,Solomon Islands,Oceania,Oceania,n_america_and_oceania,Solomon Islands,Solomon Islands,,Lower middle income
26,Brunei Darussalam,BRN,no,Brunei Darussalam,Brunei Darussalam,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Brunei Darussalam,Brunei Darussalam,,High income
27,Bulgaria,BGR,no,Bulgaria,Bulgaria ,Europe,Eastern Europe,europe_incl_russia,Bulgaria,Bulgaria,,Upper middle income
28,Myanmar,MMR,no,Myanmar,Myanmar,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Myanmar,Myanmar,,Lower middle income
29,Burundi,BDI,no,Burundi,Burundi,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Burundi,Burundi,,Low income
32,Cameroon,CMR,no,Cameroon,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Cameroon,Cameroon,,Lower middle income
33,Canada,CAN,yes,Canada,Canada,North America,North America,n_america_and_oceania,Canada,Canada,,High income
35,Cabo Verde,CPV,no,Cabo Verde,Cabo Verde,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Cape Verde,Cape Verde,,Lower middle income
36,Cayman Islands,CYM,no,Cayman Islands,Cayman Islands,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Cayman Islands,,,High income
37,Central African Republic,CAF,no,Central African Republic,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Central African Republic,Central African Republic,,Low income
38,Sri Lanka,LKA,no,Sri Lanka,Sri Lanka,South Asia,South Asia,s_and_se_asia,Sri Lanka,Sri Lanka,,Lower middle income
39,Chad,TCD,no,Chad,Chad,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Chad,Chad,,Low income
40,Chile,CHL,yes,Chile,Chile,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Chile,Chile,,High income
41,"China, mainland",CHN,no,China,"China, mainland",East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,China,China,,Upper middle income
44,Colombia,COL,no,Colombia,Colombia,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Colombia,Colombia,,Upper middle income
45,Comoros,COM,no,Comoros,Comoros,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Comoros,Comoros,,Lower middle income
46,Congo,COG,no,Congo,Congo,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Congo,"Congo, Republic of",,Lower middle income
47,Cook Islands,COK,no,Cook Islands,Cook Islands,Oceania,Oceania,n_america_and_oceania,Cook Islands,Cook Islands,,Unclassified
48,Costa Rica,CRI,no,Costa Rica,Costa Rica,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Costa Rica,Costa Rica,,Upper middle income
49,Cuba,CUB,no,Cuba,Cuba,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Cuba,Cuba,,Upper middle income
50,Cyprus,CYP,no,Cyprus,Cyprus,Near East and North Africa,Near East and North Africa,europe_incl_russia,Cyprus,Cyprus,,High income
52,Azerbaijan,AZE,no,Azerbaijan,Azerbaijan,Near East and North Africa,Near East and North Africa,europe_incl_russia,Azerbaijan,"Azerbaijan, Republic of",,Upper middle income
53,Benin,BEN,no,Benin,Benin,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Benin,Benin,,Lower middle income
54,Denmark,DNK,yes,Denmark,Denmark,Europe,Western Europe,europe_incl_russia,Denmark,Denmark,,High income
55,Dominica,DMA,no,Dominica,Dominica,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Dominica,Dominica,,Upper middle income
56,Dominican Republic,DOM,no,Dominican Republic,Dominican Republic,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Dominican Republic,Dominican Republic,,Upper middle income
57,Belarus,BLR,no,Belarus,Belarus ,Europe,Eastern Europe,europe_incl_russia,Belarus,Belarus,,Upper middle income
58,Ecuador,ECU,no,Ecuador,Ecuador,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Ecuador,Ecuador,,Upper middle income
59,Egypt,EGY,no,Egypt,Egypt,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Egypt,Egypt,,Lower middle income
60,El Salvador,SLV,no,El Salvador,El Salvador,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,El Salvador,El Salvador,,Lower middle income
61,Equatorial Guinea,GNQ,no,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Equatorial Guinea,Equatorial Guinea,,Upper middle income
63,Estonia,EST,yes,Estonia,Estonia,Europe,Western Europe,europe_incl_russia,Estonia,Estonia,,High income
64,Faroe Islands,FRO,no,Faroe Islands,Faroe Islands,Europe,Western Europe,europe_incl_russia,,Faeroe Islands,,High income
65,Falkland Islands (Malvinas),FLK,no,Falkland Is.(Malvinas),Falkland Islands (Malvinas),Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,Falkland Isl,,Unclassified
66,Fiji,FJI,no,Fiji,Fiji,Oceania,Oceania,n_america_and_oceania,Fiji,Fiji Islands,,Upper middle income
67,Finland,FIN,yes,Finland,Finland,Europe,Western Europe,europe_incl_russia,Finland,Finland,,High income
68,France,FRA,yes,France,France,Europe,Western Europe,europe_incl_russia,France,France,,High income
69,French Guiana,GUF,no,French Guiana,French Guiana,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,French Guiana,French Guiana,,Unclassified
70,French Polynesia,PYF,no,French Polynesia,French Polynesia,Oceania,Oceania,n_america_and_oceania,French Polynesia,French Polynesia,,High income
72,Djibouti,DJI,no,Djibouti,Djibouti,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Djibouti,Djibouti,,Lower middle income
73,Georgia,GEO,no,Georgia,Georgia,Near East and North Africa,Near East and North Africa,europe_incl_russia,Georgia,Georgia,,Upper middle income
74,Gabon,GAB,no,Gabon,Gabon,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Gabon,Gabon,,Upper middle income
75,Gambia,GMB,no,Gambia,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Gambia,Gambia,,Low income
79,Germany,DEU,yes,Germany,Germany,Europe,Western Europe,europe_incl_russia,Germany,Germany,,High income
80,Bosnia and Herzegovina,BIH,no,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Western Europe,europe_incl_russia,Bosnia and Herzegovina,Bosnia and Herzegovina,,Upper middle income
81,Ghana,GHA,no,Ghana,Ghana,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Ghana,Ghana,,Lower middle income
82,Gibraltar,GIB,no,Gibraltar,,Europe,Western Europe,europe_incl_russia,,,Disputed w/Spain,High income
83,Kiribati,KIR,no,Kiribati,Kiribati,Oceania,Oceania,n_america_and_oceania,Kiribati,Kiribati,,Lower middle income
84,Greece,GRC,yes,Greece,Greece,Europe,Western Europe,europe_incl_russia,Greece,Greece,,High income
85,Greenland,GRL,no,Greenland,Greenland,North America,North America,n_america_and_oceania,,Greenland,,High income
86,Grenada,GRD,no,Grenada,Grenada,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Grenada,Grenada,,Upper middle income
87,Guadeloupe,GLP,no,Guadeloupe,Guadeloupe,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Guadeloupe,Guadeloupe,,Unclassified
88,Guam,GUM,no,Guam,Guam,Oceania,Oceania,n_america_and_oceania,Guam,,,High income
89,Guatemala,GTM,no,Guatemala,Guatemala,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Guatemala,Guatemala,,Upper middle income
90,Guinea,GIN,no,Guinea,Guinea,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Guinea,Guinea,,Low income
91,Guyana,GUY,no,Guyana,Guyana,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Guyana,Guyana,,Upper middle income
93,Haiti,HTI,no,Haiti,Haiti,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Haiti,Haiti,,Lower middle income
94,Holy See,VAT,no,Holy See,,Europe,Western Europe,europe_incl_russia,,,Nested in Italy,Unclassified
95,Honduras,HND,no,Honduras,Honduras,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Honduras,Honduras,,Lower middle income
96,"China, Hong Kong SAR",HKG,no,"China, Hong Kong SAR","China, Hong Kong SAR",East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,China,China,,High income
97,Hungary,HUN,yes,Hungary,Hungary,Europe,Eastern Europe,europe_incl_russia,Hungary,Hungary,,High income
98,Croatia,HRV,no,Croatia,Croatia,Europe,Western Europe,europe_incl_russia,Croatia,Croatia,,High income
99,Iceland,ISL,yes,Iceland,Iceland,Europe,Western Europe,europe_incl_russia,Iceland,Iceland,,High income
100,India,IND,no,India,India,South Asia,South Asia,s_and_se_asia,India,India,,Lower middle income
101,Indonesia,IDN,no,Indonesia,Indonesia,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Indonesia,Indonesia,,Lower middle income
102,Iran (Islamic Republic of),IRN,no,Iran (Islamic Rep. of),Iran,South Asia,South Asia,s_and_se_asia,"Iran, Islamic Republic of","Iran, Islamic Rep of",,Lower middle income
103,Iraq,IRQ,no,Iraq,Iraq,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Iraq,Iraq,,Upper middle income
104,Ireland,IRL,yes,Ireland,Ireland,Europe,Western Europe,europe_incl_russia,Ireland,Ireland,,High income
105,Israel,ISR,yes,Israel,Israel,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Israel,Israel,,High income
106,Italy,ITA,yes,Italy,Italy,Europe,Western Europe,europe_incl_russia,Italy,Italy,,High income
107,Côte d'Ivoire,CIV,no,CÃ´te d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Côte d'Ivoire,Côte d'Ivoire,country name is intentionally spelled with broken characters to maintain consistency with prior results - look into this further,Lower middle income
108,Kazakhstan,KAZ,no,Kazakhstan,Kazakhstan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Kazakhstan,Kazakhstan,,Upper middle income
109,Jamaica,JAM,no,Jamaica,Jamaica,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Jamaica,Jamaica,,Upper middle income
110,Japan,JPN,yes,Japan,Japan,East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,Japan,Japan,,High income
112,Jordan,JOR,no,Jordan,Jordan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Jordan,Jordan,,Upper middle income
113,Kyrgyzstan,KGZ,no,Kyrgyzstan,Kyrgyzstan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Kyrgyzstan,Kyrgyzstan,,Lower middle income
114,Kenya,KEN,no,Kenya,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Kenya,Kenya,,Lower middle income
115,Cambodia,KHM,no,Cambodia,Cambodia,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Cambodia,Cambodia,,Lower middle income
116,Democratic People's Republic of Korea,PRK,no,"Korea, Dem. People's Rep",Democratic People's Republic of Korea,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,"Korea, Democratic People's Republic of","Korea, Dem People's Rep",,Low income
117,Republic of Korea,KOR,yes,"Korea, Republic of",Republic of Korea,East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,"Korea, Republic of","Korea, Republic of",,High income
118,Kuwait,KWT,no,Kuwait,Kuwait,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Kuwait,Kuwait,,High income
119,Latvia,LVA,yes,Latvia,Latvia,Europe,Western Europe,europe_incl_russia,Latvia,Latvia,,High income
120,Lao People's Democratic Republic,LAO,no,Lao People's Dem. Rep.,Lao People's Democratic Republic,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Lao People's Democratic Republic,Laos,,Lower middle income
121,Lebanon,LBN,no,Lebanon,Lebanon,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Lebanon,Lebanon,,Upper middle income
122,Lesotho,LSO,no,Lesotho,Lesotho,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Lesotho,Lesotho,,Lower middle income
123,Liberia,LBR,no,Liberia,Liberia,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Liberia,Liberia,,Low income
124,Libya,LBY,no,Libya,Libya,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya,,Upper middle income
125,Liechtenstein,LIE,no,Liechtenstein,Liechtenstein,Europe,Western Europe,europe_incl_russia,,,"Alpine microstate, adjacent to Switzerland",High income
126,Lithuania,LTU,no,Lithuania,Lithuania,Europe,Western Europe,europe_incl_russia,Lithuania,Lithuania,,High income
127,Marshall Islands,MHL,no,Marshall Islands,Marshall Islands,Oceania,Oceania,n_america_and_oceania,Marshall Islands,,,Upper middle income
128,"China, Macao SAR",MAC,no,"China, Macao SAR","China, Macau SAR",East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,China,China,,High income
129,Madagascar,MDG,no,Madagascar,Madagascar,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Madagascar,Madagascar,,Low income
130,Malawi,MWI,no,Malawi,Malawi,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Malawi,Malawi,,Low income
131,Malaysia,MYS,no,Malaysia,Malaysia,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Malaysia,Malaysia,,Upper middle income
132,Maldives,MDV,no,Maldives,Maldives,South Asia,South Asia,s_and_se_asia,Maldives,,,Upper middle income
133,Mali,MLI,no,Mali,Mali,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Mali,Mali,,Low income
134,Malta,MLT,no,Malta,Malta,Europe,Western Europe,europe_incl_russia,Malta,Malta,,High income
135,Martinique,MTQ,no,Martinique,Martinique,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Martinique,Martinique,,Unclassified
136,Mauritania,MRT,no,Mauritania,Mauritania,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Mauritania,Mauritania,,Lower middle income
137,Mauritius,MUS,no,Mauritius,Mauritius,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Mauritius,Mauritius,,Upper middle income
138,Mexico,MEX,yes,Mexico,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Mexico,Mexico,,Upper middle income
140,Monaco,MCO,no,Monaco,Monaco,Europe,Western Europe,europe_incl_russia,,,,High income
141,Mongolia,MNG,no,Mongolia,Mongolia,East Asia and Southeast Asia,East Asia and Southeast Asia,n_africa_w_and_central_asia,Mongolia,Mongolia,,Lower middle income
142,Montserrat,MSR,no,Montserrat,Montserrat,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Montserrat,Montserrat,,Unclassified
