country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw
AFG,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
ALB,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
DZA,,mg_abx_tetracyclines,5.267297808,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,10.534595616
AND,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
AGO,,mg_abx_tetracyclines,14.95644697,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.91289394
AIA,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
ATG,,mg_abx_tetracyclines,18.20254751,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.40509502
ARG,,mg_abx_tetracyclines,25.22146284,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,50.44292568
ARM,,mg_abx_tetracyclines,22.86105639,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,45.72211278
ABW,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
AUS,,mg_abx_tetracyclines,78.81864071,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,157.63728142
AUT,,mg_abx_tetracyclines,3.565934877,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,7.131869754
AZE,,mg_abx_tetracyclines,15.63739266,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,31.27478532
BHS,,mg_abx_tetracyclines,14.10218386,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.20436772
BHR,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
BGD,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
BRB,,mg_abx_tetracyclines,17.77638612,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,35.55277224
BLR,,mg_abx_tetracyclines,24.71182019,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,49.42364038
BEL,,mg_abx_tetracyclines,6.433425545,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,12.86685109
BLZ,,mg_abx_tetracyclines,18.35089378,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.70178756
BEN,,mg_abx_tetracyclines,14.25846532,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.51693064
BMU,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
BTN,,mg_abx_tetracyclines,63.72693626,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,127.45387252
BOL,,mg_abx_tetracyclines,22.5797462,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,45.1594924
BIH,,mg_abx_tetracyclines,22.19965147,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.39930294
BWA,,mg_abx_tetracyclines,11.75003591,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,23.50007182
BRA,,mg_abx_tetracyclines,26.42746291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,52.85492582
VGB,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
BRN,,mg_abx_tetracyclines,28.38418363,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,56.76836726
BGR,,mg_abx_tetracyclines,33.20530395,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,66.4106079
BFA,,mg_abx_tetracyclines,14.55315325,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.1063065
BDI,,mg_abx_tetracyclines,13.4382699,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,26.8765398
CIV,,mg_abx_tetracyclines,13.05950424,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,26.11900848
