country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,meat_feed,footprint
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_aminoglycosides,meat,16.359897286
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_amphenicols,meat,9.029642288
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_1_2,meat,2.322740964
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_3_4,meat,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_kasugamycin,feed,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_lincosamides,meat,2.339921152
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_macrolides,meat,6.10234844
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_other_antibiotics,meat,0.149250748
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_oxytetracycline,feed,0.0019323671497584
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_penicillins,meat,37.4389801
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_pleuromutilins,meat,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_polymixins,meat,0.192653888
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_quinolones,meat,2.893941792
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_streptomycin,feed,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_sulfonamides,meat,11.719857918
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_tetracycline,feed,0.0
1,Armenia,Near East and North Africa,2731,Bovine Meat,mg_abx_tetracyclines,meat,45.72211278
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_aminoglycosides,meat,25.49415575471698
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_amphenicols,meat,11.612487316981131
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_cephalosporins_1_2,meat,0.6266513188679245
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_cephalosporins_3_4,meat,0.0
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_kasugamycin,feed,0.0
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_lincosamides,meat,30.188752905660376
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_macrolides,meat,19.0101448490566
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_other_antibiotics,meat,2.5277067245283016
1,Armenia,Near East and North Africa,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,feed,0.0
