fbs_item_code,fbs_item,g_protein/kg,kcal/kg,mcg_b12/kg
9000,Bivalve molluscs,24.27553353,161.1549078,19.269
9001,Forage fish,105.48900000000002,932.4000000000001,39.906
9002,Insects,182.5,2295.0,29.200000000000003
9003,Full-fat yogurt,27.76,488.00000000000006,
9004,Full-fat cheese,74.47,1091.0,
9005,Pond-raised fish,107.882386599999,686.0755892,
9006,Farmed crustaceans,89.82417953,440.6231368,
9007,Other farmed fish,111.6780398,689.0367555,
2511,Wheat and products,91.63177707758872,3005.4463592194734,
2513,Barley and products,74.34705434249413,2722.745408267104,
2514,Maize and products,73.87179498073009,3054.69208224688,
2515,Rye and products,72.85002884765458,2816.0004179039315,
2516,Oats,83.24754299284453,2052.9340322488606,
2517,Millet and products,79.47114474406926,2981.8108958565954,
2518,Sorghum and products,88.24539918039191,2960.0845727834653,
2520,"Cereals, Other",93.27964788105518,3384.400465118828,
2531,Potatoes and products,16.37223364769228,691.6689705246788,
2532,Cassava and products,6.489878922410258,972.8889202065516,
2533,Sweet potatoes,10.427602354937466,986.3750291483392,
2534,"Roots, Other",15.501839730185194,1063.7718858655785,
2535,Yams,15.978299627255298,996.8602009875772,
2536,Sugar cane,1.3549453910742335,362.56396851942617,
2537,Sugar beet,12.91955862663322,679.3687318816457,
2541,Sugar non-centrifugal,10.41303761277531,3573.671626664541,
2542,Sugar (Raw Equivalent),0.0,3585.083398849417,
2543,"Sweeteners, Other",0.8010826651230954,1686.6142339450842,
2546,Beans,216.49435497569075,3392.405474193118,
2547,Peas,224.49183014650308,3367.3569514861124,
2549,"Pulses, Other and products",213.1514010252637,3466.0462448693684,
2551,Nuts and products,73.03277723381744,2813.952277370939,
2555,Soyabeans,329.5283872408871,3514.513852082136,
2556,Groundnuts (Shelled Eq),164.33906045146523,3769.892544722332,
2557,Sunflower seed,104.13049177763276,2749.731082960679,
2558,Rape and Mustardseed,192.1910325061137,23672.658152986747,
2559,Cottonseed,,inf,
2560,Coconuts - Incl Copra,14.82412357647139,1448.8668287653186,
2561,Sesame seed,173.5199406405277,5700.387974088994,
2562,Palm kernels,,inf,
2563,Olives (including preserved),12.211314742899912,1275.860359578246,
2570,"Oilcrops, Other",255.4958259839078,3507.841584984204,
2571,Soyabean Oil,0.7981223901319986,9891.588493405005,
2572,Groundnut Oil,0.0,8843.405096710974,
2573,Sunflowerseed Oil,0.3413098245063942,9301.618666470842,
2574,Rape and Mustard Oil,0.2026800347198282,9193.34258618522,
2575,Cottonseed Oil,0.3608474202511489,9634.61819394995,
2576,Palmkernel Oil,0.7320916209065321,10050.508179028468,
2577,Palm Oil,0.3423758333827357,9334.969666452696,
2578,Coconut Oil,0.7570451861279983,10282.036250588992,
2579,Sesameseed Oil,0.0,9092.60830754623,
2580,Olive Oil,0.0,8864.813792227076,
2581,Ricebran Oil,0.0,12162.17516671648,
2582,Maize Germ Oil,0.5008469445779676,9339.831975034029,
