fbs_item_code,fbs_item,kcal/kg,g_protein/kg
2511,Wheat and products,3005.4463592194734,91.63177707758871
2513,Barley and products,2722.745408267104,74.34705434249413
2514,Maize and products,3054.69208224688,73.87179498073009
2515,Rye and products,2816.0004179039315,72.85002884765458
2516,Oats,2052.9340322488606,83.24754299284453
2517,Millet and products,2981.8108958565954,79.47114474406926
2518,Sorghum and products,2960.0845727834653,88.24539918039191
2520,"Cereals, Other",3384.400465118828,93.27964788105518
2531,Potatoes and products,691.6689705246788,16.37223364769228
2532,Cassava and products,972.8889202065515,6.489878922410258
2533,Sweet potatoes,986.3750291483393,10.427602354937466
2534,"Roots, Other",1063.7718858655785,15.501839730185194
2535,Yams,996.8602009875772,15.978299627255298
2536,Sugar cane,362.56396851942617,1.3549453910742335
2537,Sugar beet,679.3687318816457,12.91955862663322
2541,Sugar non-centrifugal,3573.6716266645412,10.41303761277531
2542,Sugar (Raw Equivalent),3585.083398849417,0.0
2543,"Sweeteners, Other",1686.6142339450842,0.8010826651230954
2546,Beans,3392.405474193118,216.49435497569073
2547,Peas,3367.3569514861124,224.49183014650308
2549,"Pulses, Other and products",3466.0462448693684,213.15140102526374
2551,Nuts and products,2813.952277370939,73.03277723381744
2555,Soyabeans,3514.513852082136,329.5283872408871
2556,Groundnuts (Shelled Eq),3769.892544722332,164.33906045146523
2557,Sunflower seed,2749.731082960679,104.13049177763277
2558,Rape and Mustardseed,23672.658152986747,192.19103250611366
2559,Cottonseed,inf,
2560,Coconuts - Incl Copra,1448.8668287653186,14.82412357647139
2561,Sesame seed,5700.387974088994,173.5199406405277
2562,Palm kernels,inf,
2563,Olives (including preserved),1275.860359578246,12.211314742899912
2570,"Oilcrops, Other",3507.841584984204,255.4958259839078
2571,Soyabean Oil,9891.588493405003,0.7981223901319986
2572,Groundnut Oil,8843.405096710974,0.0
2573,Sunflowerseed Oil,9301.618666470842,0.3413098245063942
2574,Rape and Mustard Oil,9193.342586185221,0.2026800347198282
2575,Cottonseed Oil,9634.61819394995,0.36084742025114896
2576,Palmkernel Oil,10050.508179028468,0.7320916209065321
2577,Palm Oil,9334.969666452695,0.34237583338273575
2578,Coconut Oil,10282.036250588992,0.7570451861279983
2579,Sesameseed Oil,9092.60830754623,0.0
2580,Olive Oil,8864.813792227076,0.0
2581,Ricebran Oil,12162.17516671648,0.0
2582,Maize Germ Oil,9339.831975034027,0.5008469445779676
2586,"Oilcrops Oil, Other",9145.844664522561,6.08875195317359
2601,Tomatoes and products,192.4543594501001,10.123007383859576
2602,Onions,376.38468793778384,13.970250011545314
2605,"Vegetables, Other",250.80091400055096,13.859978676495231
2611,"Oranges, Mandarines",297.6122925190893,5.239587679510942
2612,"Lemons, Limes and products",205.736992983438,5.082096728057055
2613,Grapefruit and products,245.0976552387669,3.6590177782102606
2614,"Citrus, Other",280.2664310064792,5.102601377129498
2615,Bananas,625.7377727900775,8.224685337277082
2616,Plantains,851.6265264457015,7.756249255078093
2617,Apples and products,470.0693339836327,2.817441778245774
2618,Pineapples and products,310.72458578621536,2.560308465675503
2619,Dates,1734.8817392895735,14.778368140813264
2620,Grapes and products (excl wine),505.5035702784793,5.023940655264915
2625,"Fruits, Other",436.5467897858009,5.283843281190491
2630,Coffee and products,459.37667347274447,57.800261242563906
2633,Cocoa Beans and products,101198.97887157401,2727.3924398047957
2635,Tea (including mate),351.763111598447,99.27495149019914
2640,Pepper,1693.0436575314675,111.43028333017112
2641,Pimento,2941.6529030388774,120.83682500510196
2642,Cloves,876.9138059359738,21.746044073578293
2645,"Spices, Other",3275.079007779809,108.34346428645233
2655,Wine,672.4208098123823,6.341191803266087e-05
2656,Beer,458.3009803012535,4.446889295518466
2657,"Beverages, Fermented",483.5122927182398,3.5081951099525908
2658,"Beverages, Alcoholic",2932.6489800636737,0.0915047982159763
2659,"Alcohol, Non-Food",0.0,0.0
2680,Infant food,3656.884081730205,150.98171402498951
2731,Bovine Meat,1591.213343161152,139.42900322599704
2732,Mutton & Goat Meat,2061.601436807598,137.55556024518907
2733,Pigmeat,3112.1915732711805,108.0984872744337
2734,Poultry Meat,1471.4277044335142,125.2126392805998
2735,"Meat, Other",1242.9283120797877,185.40389670969722
2736,"Offals, Edible",1125.1163176626803,178.02606030435265
2737,"Fats, Animals, Raw",11022.633255674342,8.69359896620376
2740,"Butter, Ghee",7874.123063147118,6.634222154058651
2743,Cream,1946.3332953044044,27.18128360242307
2744,Eggs,1441.1904039191922,111.9639086232757
2745,Honey,2911.2032606321873,2.16967186106703
2761,Freshwater Fish,682.3488787864815,107.82570118263703
2762,Demersal Fish,688.2729547113552,111.86302705702707
2763,Pelagic Fish,964.5569766703655,132.70415216332867
2764,"Marine Fish, Other",794.5644291965514,117.43871468738377
2765,Crustaceans,478.29301473355133,91.66321972854439
2766,Cephalopods,714.270028688635,142.95129195992766
2767,"Molluscs, Other",151.96800030549838,24.63444787538786
2768,"Meat, Aquatic Mammals",,
2769,"Aquatic Animals, Others",476.2323547089575,36.74750554395012
2775,Aquatic Plants,353.0955004929585,27.21159892418697
2781,"Fish, Body Oil",8830.773110296665,0.0
2782,"Fish, Liver Oil",8616.652698747472,0.0
2805,Rice (Milled Equivalent),2467.8167513065746,45.92324687192356
2848,Milk - Excluding Butter,748.970618966888,44.315123502364486
2899,Miscellaneous,392.63935370491157,11.699427997859587
