country_code,country,diet,attribute,region,income_class,oecd,value,centile_up,centile_down,value_baseline,diff_baseline,%_diff_baseline,value_baseline_adj,diff_baseline_adj,%_diff_baseline_adj
1,Armenia,baseline,kg_co2_luc_feed_palm,Near East and North Africa,Upper middle income,no,0.4084577826777987,0.0,0.0,0.4084577826777987,0.0,0.0,,,
1,Armenia,baseline,kg_co2_luc_feed_soy,Near East and North Africa,Upper middle income,no,35.57049765260918,0.0,0.0,35.57049765260918,0.0,0.0,,,
1,Armenia,baseline,kg_co2_luc_human_palm_soy,Near East and North Africa,Upper middle income,no,0.0060037677956303,0.0,0.0,0.0060037677956303,0.0,0.0,,,
1,Armenia,baseline,kg_co2_luc_pasture,Near East and North Africa,Upper middle income,no,5.405040185389976,0.0,0.0,5.405040185389976,0.0,0.0,,,
1,Armenia,baseline,kg_co2e_excl_luc,Near East and North Africa,Upper middle income,no,1679.3157051000026,238.3108812212215,123.91237912180425,1679.3157051000026,0.0,0.0,,,
1,Armenia,baseline,kg_co2e_total,Near East and North Africa,Upper middle income,no,1720.7057044884752,238.3108812212215,123.91237912180425,1720.7057044884752,0.0,0.0,,,
1,Armenia,baseline,mg_abx_aminoglycosides,Near East and North Africa,Upper middle income,no,656.9112527621019,0.0,0.0,656.9112527621019,0.0,0.0,,,
1,Armenia,baseline,mg_abx_amphenicols,Near East and North Africa,Upper middle income,no,351.92290758356535,0.0,0.0,351.92290758356535,0.0,0.0,,,
1,Armenia,baseline,mg_abx_arsenicals,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_cephalosporins,Near East and North Africa,Upper middle income,no,54.485670706253565,0.0,0.0,54.485670706253565,0.0,0.0,,,
1,Armenia,baseline,mg_abx_glycopeptides,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_glycophospholipids,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_lincosamides,Near East and North Africa,Upper middle income,no,284.75882282507285,0.0,0.0,284.75882282507285,0.0,0.0,,,
1,Armenia,baseline,mg_abx_macrolides,Near East and North Africa,Upper middle income,no,400.9036250179546,0.0,0.0,400.9036250179546,0.0,0.0,,,
1,Armenia,baseline,mg_abx_nitrofurans,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_orthosomycins,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_other_drugs,Near East and North Africa,Upper middle income,no,204.82463739834566,0.0,0.0,204.82463739834566,0.0,0.0,,,
1,Armenia,baseline,mg_abx_penicillins,Near East and North Africa,Upper middle income,no,1482.0549257923617,0.0,0.0,1482.0549257923617,0.0,0.0,,,
1,Armenia,baseline,mg_abx_pleuromutilins,Near East and North Africa,Upper middle income,no,193.7637644497107,0.0,0.0,193.7637644497107,0.0,0.0,,,
1,Armenia,baseline,mg_abx_polymixins,Near East and North Africa,Upper middle income,no,325.81926934502167,0.0,0.0,325.81926934502167,0.0,0.0,,,
1,Armenia,baseline,mg_abx_polypeptides,Near East and North Africa,Upper middle income,no,4.6901574304672895,0.0,0.0,4.6901574304672895,0.0,0.0,,,
1,Armenia,baseline,mg_abx_quinolones,Near East and North Africa,Upper middle income,no,184.49931907999357,0.0,0.0,184.49931907999357,0.0,0.0,,,
1,Armenia,baseline,mg_abx_quinoxalines,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_streptogramins,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,baseline,mg_abx_sulfonamides_trimethoprim,Near East and North Africa,Upper middle income,no,491.44294158813017,0.0,0.0,491.44294158813017,0.0,0.0,,,
1,Armenia,baseline,mg_abx_tetracyclines,Near East and North Africa,Upper middle income,no,1925.1360043223594,0.0,0.0,1925.1360043223594,0.0,0.0,,,
1,Armenia,baseline,mg_abx_total,Near East and North Africa,Upper middle income,no,6561.213298301339,0.0,0.0,6561.213298301339,0.0,0.0,,,
1,Armenia,eat_lancet,kg_co2_luc_feed_palm,Near East and North Africa,Upper middle income,no,0.11790971388717611,0.0,0.0,0.4084577826777987,-0.29054806879062256,-0.7113294962476302,,,
1,Armenia,eat_lancet,kg_co2_luc_feed_soy,Near East and North Africa,Upper middle income,no,13.635137308037475,0.0,0.0,35.57049765260918,-21.935360344571702,-0.6166728550946403,,,
1,Armenia,eat_lancet,kg_co2_luc_human_palm_soy,Near East and North Africa,Upper middle income,no,0.021966246738740598,0.0,0.0,0.0060037677956303,0.0159624789431103,2.6587435567924884,,,
1,Armenia,eat_lancet,kg_co2_luc_pasture,Near East and North Africa,Upper middle income,no,1.2338818128133395,0.0,0.0,5.405040185389976,-4.171158372576636,-0.7717164404903838,,,
1,Armenia,eat_lancet,kg_co2e_excl_luc,Near East and North Africa,Upper middle income,no,714.2174128708273,122.3217786973769,59.527031535581855,1679.3157051000026,-965.0982922291753,-0.5746973539866371,,,
1,Armenia,eat_lancet,kg_co2e_total,Near East and North Africa,Upper middle income,no,729.2263079523041,122.3217786973769,59.527031535581855,1720.7057044884752,-991.4793965361712,-0.576205096519346,,,
1,Armenia,eat_lancet,mg_abx_aminoglycosides,Near East and North Africa,Upper middle income,no,261.1461799961273,0.0,0.0,656.9112527621019,-395.7650727659746,-0.6024635308071051,,,
1,Armenia,eat_lancet,mg_abx_amphenicols,Near East and North Africa,Upper middle income,no,263.07870167082,0.0,0.0,351.92290758356535,-88.84420591274534,-0.2524536027585785,,,
1,Armenia,eat_lancet,mg_abx_arsenicals,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
1,Armenia,eat_lancet,mg_abx_cephalosporins,Near East and North Africa,Upper middle income,no,12.966333671030599,0.0,0.0,54.485670706253565,-41.51933703522297,-0.7620230511443004,,,
1,Armenia,eat_lancet,mg_abx_glycopeptides,Near East and North Africa,Upper middle income,no,0.0,0.0,0.0,0.0,0.0,,,,
