region,diet,output_group,attribute,value_total,population,value_per_cap_avg
East Asia and Southeast Asia,baseline,Aquatic animals,kg_co2e_excl_luc,232132523242.57074,2308523000.0,100.55456378063842
East Asia and Southeast Asia,baseline,Aquatic animals,kg_co2e_total,232132523242.57074,2308523000.0,100.55456378063842
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_aminoglycosides,484802508772.4324,2308523000.0,210.005492157727
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_amphenicols,1660808594408.5308,2308523000.0,719.4247553126092
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_arsenicals,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_cephalosporins,4800024839.331011,2308523000.0,2.079262298591355
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_glycopeptides,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_glycophospholipids,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_lincosamides,28800149035.98608,2308523000.0,12.475573791548138
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_macrolides,355201838110.495,2308523000.0,153.86541009576035
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_nitrofurans,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_orthosomycins,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_other_drugs,4800024839.331011,2308523000.0,2.079262298591355
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_penicillins,105600546465.28232,2308523000.0,45.74377056900985
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_pleuromutilins,192000993573.24057,2308523000.0,83.17049194365427
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_polypeptides,72000372589.96521,2308523000.0,31.188934478870348
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_quinolones,806404173007.6106,2308523000.0,349.316066163348
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_quinoxalines,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_streptogramins,0.0,2308523000.0,0.0
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_sulfonamides_trimethoprim,278401440681.1988,2308523000.0,120.59721331829867
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_tetracyclines,772803999132.2935,2308523000.0,334.7612300732085
East Asia and Southeast Asia,baseline,Aquatic animals,mg_abx_total,4766424665455.697,2308523000.0,2064.707462501217
East Asia and Southeast Asia,baseline,Bovine meat,kg_co2_luc_feed_palm,855824863.2463272,2308523000.0,0.37072399246025584
East Asia and Southeast Asia,baseline,Bovine meat,kg_co2_luc_feed_soy,5651860820.296447,2308523000.0,2.448258397380683
East Asia and Southeast Asia,baseline,Bovine meat,kg_co2_luc_pasture,13187425522.174541,2308523000.0,5.71249475191477
East Asia and Southeast Asia,baseline,Bovine meat,kg_co2e_excl_luc,566812209855.2692,2308523000.0,245.53024156799356
East Asia and Southeast Asia,baseline,Bovine meat,kg_co2e_total,586507321060.9863,2308523000.0,254.0617187097492
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_aminoglycosides,192937429001.3283,2308523000.0,83.57613461132001
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_amphenicols,857123535827.4044,2308523000.0,371.2865480774523
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_cephalosporins,10039903538.487642,2308523000.0,4.349059350280522
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_lincosamides,10514728263.47718,2308523000.0,4.554742691962428
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_macrolides,187987295996.59796,2308523000.0,81.4318488473357
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_other_drugs,54835119006.85579,2308523000.0,23.753334494330698
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_penicillins,434476338981.0412,2308523000.0,188.20533257890054
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_pleuromutilins,499989112.31232524,2308523000.0,0.21658398565330528
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_polymixins,4221863351.999455,2308523000.0,1.8288158064699616
East Asia and Southeast Asia,baseline,Bovine meat,mg_abx_quinolones,81584678621.33093,2308523000.0,35.340639283789216
