diet,output_group,attribute,value_total,population,value_per_cap_avg
baseline,Aquatic animals,kg_co2e_excl_luc,404070335174.06366,7530908410.0,53.65492622875541
baseline,Aquatic animals,kg_co2e_total,404070335174.06366,7530908410.0,53.65492622875541
baseline,Aquatic animals,mg_abx_aminoglycosides,712375791731.7728,7530908410.0,94.59360716508472
baseline,Aquatic animals,mg_abx_amphenicols,2440416078605.875,7530908410.0,324.053347318013
baseline,Aquatic animals,mg_abx_arsenicals,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_cephalosporins,7053225660.710615,7530908410.0,0.936570367971135
baseline,Aquatic animals,mg_abx_glycopeptides,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_glycophospholipids,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_lincosamides,42319353964.263725,7530908410.0,5.619422207826815
baseline,Aquatic animals,mg_abx_macrolides,521938698892.58606,7530908410.0,69.30620722986406
baseline,Aquatic animals,mg_abx_nitrofurans,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_orthosomycins,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_other_drugs,7053225660.710615,7530908410.0,0.936570367971135
baseline,Aquatic animals,mg_abx_penicillins,155170964535.6337,7530908410.0,20.60454809536499
baseline,Aquatic animals,mg_abx_pleuromutilins,282129026428.42487,7530908410.0,37.462814718845436
baseline,Aquatic animals,mg_abx_polypeptides,105798384910.65932,7530908410.0,14.048555519567037
baseline,Aquatic animals,mg_abx_quinolones,1184941910999.385,7530908410.0,157.3438218191509
baseline,Aquatic animals,mg_abx_quinoxalines,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_streptogramins,0.0,7530908410.0,0.0
baseline,Aquatic animals,mg_abx_sulfonamides_trimethoprim,409087088321.21606,7530908410.0,54.32108134232588
baseline,Aquatic animals,mg_abx_tetracyclines,1135569331374.4104,7530908410.0,150.78782924335292
baseline,Aquatic animals,mg_abx_total,7003853081085.648,7530908410.0,930.0143753953381
baseline,Bovine meat,kg_co2_luc_feed_palm,1791476211.893181,7530908410.0,0.23788314959644835
baseline,Bovine meat,kg_co2_luc_feed_soy,47072916752.121735,7530908410.0,6.250629298533951
baseline,Bovine meat,kg_co2_luc_pasture,285792697043.11084,7530908410.0,37.94929927226546
baseline,Bovine meat,kg_co2e_excl_luc,2414886608827.308,7530908410.0,320.6633884460305
baseline,Bovine meat,kg_co2e_total,2749543698834.4336,7530908410.0,365.10120016642634
baseline,Bovine meat,mg_abx_aminoglycosides,486465226713.9592,7530908410.0,64.59582300430066
baseline,Bovine meat,mg_abx_amphenicols,1146414694455.4958,7530908410.0,152.2279427715807
