country_code,country,diet,output_group,type,attribute,value
1,Armenia,baseline,Aquatic animals,a_animal,kg/cap/yr,5.995
1,Armenia,baseline,Bovine meat,t_animal,kg/cap/yr,23.00405224323637
1,Armenia,baseline,Dairy,t_animal,kg/cap/yr,222.605
1,Armenia,baseline,Eggs,t_animal,kg/cap/yr,11.861741794589094
1,Armenia,baseline,Fruits,plant,kg/cap/yr,123.70989716733101
1,Armenia,baseline,Grains,plant,kg/cap/yr,160.66000466457467
1,Armenia,baseline,Nuts and seeds,plant,kg/cap/yr,2.4000000000000004
1,Armenia,baseline,Offals,t_animal,kg/cap/yr,6.454241794589094
1,Armenia,baseline,Pig meat,t_animal,kg/cap/yr,7.667310448647273
1,Armenia,baseline,Poultry,t_animal,kg/cap/yr,15.269620897294546
1,Armenia,baseline,Pulses and soy,plant,kg/cap/yr,2.31
1,Armenia,baseline,Sheep and goat meat,t_animal,kg/cap/yr,3.025
1,Armenia,baseline,Starchy roots,plant,kg/cap/yr,57.25082414553472
1,Armenia,baseline,Sugars,plant,kg/cap/yr,55.82253583241456
1,Armenia,baseline,Vegetable oils,plant,kg/cap/yr,9.747499999999999
1,Armenia,baseline,Vegetables,plant,kg/cap/yr,291.05550165380373
1,Armenia,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.481749495584747
1,Armenia,eat_lancet,Bovine meat,t_animal,kg/cap/yr,5.25144692923119
1,Armenia,eat_lancet,Dairy,t_animal,kg/cap/yr,93.28054001157564
1,Armenia,eat_lancet,Eggs,t_animal,kg/cap/yr,4.8661675725566615
1,Armenia,eat_lancet,Fruits,plant,kg/cap/yr,81.36146890394437
1,Armenia,eat_lancet,Grains,plant,kg/cap/yr,121.73138106378883
1,Armenia,eat_lancet,Nuts and seeds,plant,kg/cap/yr,19.487461776899124
1,Armenia,eat_lancet,Pig meat,t_animal,kg/cap/yr,1.8100046501738036
1,Armenia,eat_lancet,Poultry,t_animal,kg/cap/yr,11.62715934528493
1,Armenia,eat_lancet,Pulses and soy,plant,kg/cap/yr,29.274852742296105
1,Armenia,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,0.6905577675165918
1,Armenia,eat_lancet,Starchy roots,plant,kg/cap/yr,23.491155901662257
1,Armenia,eat_lancet,Sugars,plant,kg/cap/yr,11.315
1,Armenia,eat_lancet,Vegetable oils,plant,kg/cap/yr,14.6
1,Armenia,eat_lancet,Vegetables,plant,kg/cap/yr,122.92633801128498
1,Armenia,high_income,Aquatic animals,a_animal,kg/cap/yr,29.5025
