item_index,item,footprint,footprint_type,edible_fraction,median
Belgium,Sheep & goat,30.399909877986023,kg_co2e,0.71,35.46472316692549
Iceland,Sheep & goat,25.60407956949242,mg_abx,0.71,484.2695171751262
Niger,Sheep & goat,26.992375206045523,kg_co2e,0.71,35.46472316692549
Sierra Leone,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Hungary,Sheep & goat,493.87875121977146,mg_abx,0.71,484.2695171751262
Nigeria,Sheep & goat,53.32424821439618,kg_co2e,0.71,35.46472316692549
Finland,Sheep & goat,24.974853929744953,kg_co2e,0.71,35.46472316692549
Honduras,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Singapore,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
Holy See,Sheep & goat,484.2695171751262,mg_abx,0.71,484.2695171751262
North Macedonia,Sheep & goat,13.166293652399352,kg_co2e,0.71,35.46472316692549
Haiti,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
France,Sheep & goat,24.642043531491844,kg_co2e,0.71,35.46472316692549
Slovakia,Sheep & goat,247.2079675498273,mg_abx,0.71,484.2695171751262
Guyana,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Fiji,Sheep & goat,54.41004454963797,kg_co2e,0.71,35.46472316692549
Norway,Sheep & goat,31.664656000647057,kg_co2e,0.71,35.46472316692549
Slovenia,Sheep & goat,220.98125814243954,mg_abx,0.71,484.2695171751262
Guinea-Bissau,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Faroe Islands,Sheep & goat,23.175807027960403,kg_co2e,0.71,35.46472316692549
Falkland Islands (Malvinas),Sheep & goat,201.78491507632248,kg_co2e,0.71,35.46472316692549
Guinea,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Occupied Palestinian Territory,Sheep & goat,11.309362412878281,kg_co2e,0.71,35.46472316692549
Solomon Islands,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
Guatemala,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Northern Mariana Islands,Sheep & goat,9.493667799404314,kg_co2e,0.71,35.46472316692549
Seychelles,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
India,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
Serbia,Sheep & goat,244.54492007614456,mg_abx,0.71,484.2695171751262
Jordan,Sheep & goat,295.4080998818096,mg_abx,0.71,484.2695171751262
Mozambique,Sheep & goat,61.25565939608269,kg_co2e,0.71,35.46472316692549
Saint Vincent and the Grenadines,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Japan,Sheep & goat,137.83657104703695,mg_abx,0.71,484.2695171751262
Myanmar,Sheep & goat,34.20473091441679,kg_co2e,0.71,35.46472316692549
Germany,Sheep & goat,36.17151902139181,kg_co2e,0.71,35.46472316692549
Jamaica,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Samoa,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Italy,Sheep & goat,495.38444841881477,mg_abx,0.71,484.2695171751262
Namibia,Sheep & goat,52.08980273577685,kg_co2e,0.71,35.46472316692549
Georgia,Sheep & goat,35.45499419755219,kg_co2e,0.71,35.46472316692549
San Marino,Sheep & goat,484.2695171751262,mg_abx,0.71,484.2695171751262
Israel,Sheep & goat,484.2701934904929,mg_abx,0.71,484.2695171751262
Sao Tome and Principe,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Nepal,Sheep & goat,30.80059712317793,kg_co2e,0.71,35.46472316692549
Ireland,Sheep & goat,180.82685961466913,mg_abx,0.71,484.2695171751262
Gambia,Sheep & goat,50.69661896079856,kg_co2e,0.71,35.46472316692549
Saudi Arabia,Sheep & goat,295.41027830846923,mg_abx,0.71,484.2695171751262
Iraq,Sheep & goat,295.3999328222163,mg_abx,0.71,484.2695171751262
Netherlands,Sheep & goat,32.290472187833146,kg_co2e,0.71,35.46472316692549
Iran (Islamic Republic of),Sheep & goat,960.0323457184527,mg_abx,0.71,484.2695171751262
Senegal,Sheep & goat,137.8517380334839,mg_abx,0.71,484.2695171751262
Gabon,Sheep & goat,50.96001878986314,kg_co2e,0.71,35.46472316692549
Indonesia,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
New Zealand,Sheep & goat,33.373662154963306,kg_co2e,0.71,35.46472316692549
Oman,Sheep & goat,14.19705032604732,kg_co2e,0.71,35.46472316692549
Saint Pierre and Miquelon,Sheep & goat,1094.9164067605634,mg_abx,0.71,484.2695171751262
Guam,Sheep & goat,959.956979444592,mg_abx,0.71,484.2695171751262
