item_index,item,footprint,footprint_type,edible_fraction,median
SOM,"Pigmeat, intensive",100.41305244931505,mg_abx_bko,0.73,273.9817128621005
VAT,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
VCT,"Pigmeat, intensive",566.6514346922374,mg_abx_bko,0.73,273.9817128621005
GTM,"Pigmeat, intensive",506.0283784383561,mg_abx_bko,0.73,273.9817128621005
VEN,"Pigmeat, intensive",497.64089615525114,mg_abx_bko,0.73,273.9817128621005
GRL,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
VGB,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
VIR,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
GRD,"Pigmeat, intensive",573.6392532438356,mg_abx_bko,0.73,273.9817128621005
VNM,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
GRC,"Pigmeat, intensive",257.4570231488584,mg_abx_bko,0.73,273.9817128621005
VUT,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
WLF,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
GNQ,"Pigmeat, intensive",99.54645628127854,mg_abx_bko,0.73,273.9817128621005
WSM,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
GNB,"Pigmeat, intensive",100.40669846392693,mg_abx_bko,0.73,273.9817128621005
YEM,"Pigmeat, intensive",213.2171339105023,mg_abx_bko,0.73,273.9817128621005
ZAF,"Pigmeat, intensive",100.76186310684932,mg_abx_bko,0.73,273.9817128621005
GMB,"Pigmeat, intensive",100.12744234155251,mg_abx_bko,0.73,273.9817128621005
ZMB,"Pigmeat, intensive",100.50339518721462,mg_abx_bko,0.73,273.9817128621005
GLP,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
ZWE,"Pigmeat, intensive",100.82209306666668,mg_abx_bko,0.73,273.9817128621005
GUF,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
UZB,"Pigmeat, intensive",280.86904148310504,mg_abx_bko,0.73,273.9817128621005
GUM,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
USA,"Pigmeat, intensive",178.66892968949767,mg_abx_bko,0.73,273.9817128621005
IRL,"Pigmeat, intensive",58.89622117990867,mg_abx_bko,0.73,273.9817128621005
TKL,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
TKM,"Pigmeat, intensive",290.6817395652968,mg_abx_bko,0.73,273.9817128621005
IND,"Pigmeat, intensive",639.8359060073059,mg_abx_bko,0.73,273.9817128621005
TLS,"Pigmeat, intensive",3.4447232602739724,mg_abx_bko,0.73,273.9817128621005
IDN,"Pigmeat, intensive",646.2315499762557,mg_abx_bko,0.73,273.9817128621005
TON,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
TTO,"Pigmeat, intensive",605.7549412748858,mg_abx_bko,0.73,273.9817128621005
HUN,"Pigmeat, intensive",198.76830987762557,mg_abx_bko,0.73,273.9817128621005
TUN,"Pigmeat, intensive",97.63306276712329,mg_abx_bko,0.73,273.9817128621005
Albania,"Pigmeat, intensive",7.5747571426243825,kg_co2e_bko,0.73,8.285248226856304
HTI,"Pigmeat, intensive",514.1409529534247,mg_abx_bko,0.73,273.9817128621005
TUV,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
HRV,"Pigmeat, intensive",104.17203724018265,mg_abx_bko,0.73,273.9817128621005
TWN,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
HND,"Pigmeat, intensive",544.6827664913242,mg_abx_bko,0.73,273.9817128621005
TZA,"Pigmeat, intensive",100.45880725479452,mg_abx_bko,0.73,273.9817128621005
UGA,"Pigmeat, intensive",100.9941479780822,mg_abx_bko,0.73,273.9817128621005
HKG,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
UKR,"Pigmeat, intensive",266.6896391488584,mg_abx_bko,0.73,273.9817128621005
GUY,"Pigmeat, intensive",618.2365209515982,mg_abx_bko,0.73,273.9817128621005
URY,"Pigmeat, intensive",507.51080925662103,mg_abx_bko,0.73,273.9817128621005
TUR,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
GIN,"Pigmeat, intensive",99.59646771141554,mg_abx_bko,0.73,273.9817128621005
Angola,"Pigmeat, intensive",4.729440029472258,kg_co2e_bko,0.73,8.285248226856304
GHA,"Pigmeat, intensive",100.66777093515981,mg_abx_bko,0.73,273.9817128621005
Chile,"Pigmeat, intensive",8.066172482572153,kg_co2e_bko,0.73,8.285248226856304
EST,"Pigmeat, intensive",74.3139479671233,mg_abx_bko,0.73,273.9817128621005
"China, Taiwan Province of","Pigmeat, intensive",12.350743442424758,kg_co2e_bko,0.73,8.285248226856304
"China, mainland","Pigmeat, intensive",12.350743442424758,kg_co2e_bko,0.73,8.285248226856304
ESP,"Pigmeat, intensive",176.88077215342466,mg_abx_bko,0.73,273.9817128621005
