income_group,footprint_type,attribute,n,mean,std,min,5%,25%,50%,75%,95%,max
High income,kg CO2e/capita/year,footprint,53.0,1621.0180504544874,591.3963641464811,968.1688873935168,1042.165530924861,1172.9115009459942,1469.515496318162,1824.051996248955,2539.7909287131697,4303.8536093414505
Low income,kg CO2e/capita/year,footprint,24.0,920.2653786129122,751.131942884242,202.97457241050165,293.700908584211,463.42595755734806,712.008166166749,972.1692069175404,2666.093314129642,3302.9805714945646
Lower middle income,kg CO2e/capita/year,footprint,52.0,1133.7408277918914,636.8440439449321,430.8623313647895,498.3376067593771,783.7118030602516,965.0065995128315,1279.9330942064184,2112.0050449987093,3856.278908968146
Unclassified,kg CO2e/capita/year,footprint,1.0,1935.274111208372,,1935.274111208372,1935.274111208372,1935.274111208372,1935.274111208372,1935.274111208372,1935.274111208372,1935.274111208372
Upper middle income,kg CO2e/capita/year,footprint,49.0,1510.7542322680765,916.6347973097456,681.8830130428764,818.2740865875717,998.3032280913716,1256.3787176377853,1720.7057044884752,3235.642527284522,5817.733747640786
High income,mg antibiotics/capita/year,footprint,53.0,7607.611459731759,5861.531694632162,1525.7312925280992,2820.2742227713084,4273.084070823529,5428.2493999460885,8371.454173281145,22064.02617249435,27009.83463203293
Low income,mg antibiotics/capita/year,footprint,24.0,1024.6345453120618,835.8990512334944,132.79348321505856,199.95685292260012,476.532774902098,688.9034813626776,1435.0662335567488,2785.668266513339,2996.5716603106275
Lower middle income,mg antibiotics/capita/year,footprint,52.0,3997.3389480880137,6447.66507121469,527.393563533946,664.8646856242805,1225.413091503103,2218.208535354092,4709.310591366317,9968.10795134263,45583.35728109402
Unclassified,mg antibiotics/capita/year,footprint,1.0,3915.5038385754833,,3915.5038385754833,3915.5038385754833,3915.5038385754833,3915.5038385754833,3915.5038385754833,3915.5038385754833,3915.5038385754833
Upper middle income,mg antibiotics/capita/year,footprint,49.0,6159.532178448043,4196.143918130647,663.6706168705502,1605.0401571417083,3355.5286658444707,5631.253110759919,7220.216532542345,12964.337438288045,23360.226842403958
