country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
1,Armenia,domestic,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Near East and North Africa,Upper middle income,no,0.29701750058992804,2947750.0,0.0008755333373639604
1,Armenia,domestic,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,domestic,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.05383626110930857,2947750.0,0.00015869583868496437
1,Armenia,domestic,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Near East and North Africa,Upper middle income,no,0.054470949174581,2947750.0,0.00016056674042937114
1,Armenia,domestic,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,6.19951477491136e-05,2947750.0,1.8274619677744984e-07
1,Armenia,domestic,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,domestic,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Near East and North Africa,Upper middle income,no,1.34139338537953e-05,2947750.0,3.9540923517525314e-08
1,Armenia,domestic,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,domestic,baseline,plant,Grains,2515,Rye and products,mg_abx_total,Near East and North Africa,Upper middle income,no,4.1351473518679996e-07,2947750.0,1.2189380606469313e-09
1,Armenia,domestic,baseline,plant,Grains,2516,Oats,mg_abx_total,Near East and North Africa,Upper middle income,no,1.6846896618722e-06,2947750.0,4.966043950783798e-09
1,Armenia,domestic,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0028176178810455873,2947750.0,8.30563310885213e-06
1,Armenia,domestic,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,Near East and North Africa,Upper middle income,no,1.1239494325787e-06,2947750.0,3.3131219398840295e-09
1,Armenia,domestic,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Near East and North Africa,Upper middle income,no,1.396887957144e-07,2947750.0,4.117676475673926e-10
1,Armenia,domestic,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,Near East and North Africa,Upper middle income,no,5.40971794850372e-05,2947750.0,1.5946496082701864e-07
1,Armenia,domestic,baseline,plant,Sugars,2537,Sugar beet,mg_abx_total,Near East and North Africa,Upper middle income,no,3.964476632825e-06,2947750.0,1.168628599440997e-08
1,Armenia,domestic,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,Near East and North Africa,Upper middle income,no,5.6052751274767106e-05,2947750.0,1.6522949757019474e-07
1,Armenia,domestic,baseline,plant,Vegetables,2602,Onions,mg_abx_total,Near East and North Africa,Upper middle income,no,1.4502590260464098e-05,2947750.0,4.275001044028314e-08
1,Armenia,domestic,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,0.00019805063322938211,2947750.0,5.838037541019112e-07
1,Armenia,domestic,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,Near East and North Africa,Upper middle income,no,2.9123249963864835,2947750.0,0.008584806008098257
1,Armenia,domestic,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Near East and North Africa,Upper middle income,no,0.8156298045999126,2947750.0,0.0024042727565093923
1,Armenia,domestic,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,Near East and North Africa,Upper middle income,no,0.20318109916292088,2947750.0,0.0005989270850575
1,Armenia,domestic,baseline,t_animal,Sheep and goat meat,2732,Mutton & Goat Meat,mg_abx_total,Near East and North Africa,Upper middle income,no,1.0400898555128772,2947750.0,0.003065924871588084
1,Armenia,imported,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Near East and North Africa,Upper middle income,no,0.005245537038654643,2947750.0,1.5462531805694224e-05
1,Armenia,imported,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Near East and North Africa,Upper middle income,no,0.003116875838913314,2947750.0,9.187770754156721e-06
1,Armenia,imported,baseline,a_animal,Aquatic animals,2763,Pelagic Fish,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0020441896924946646,2947750.0,6.025760166051149e-06
1,Armenia,imported,baseline,a_animal,Aquatic animals,2764,"Marine Fish, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,0.002291415820818625,2947750.0,6.754520985818103e-06
1,Armenia,imported,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0007729029161253192,2947750.0,2.2783245710084095e-06
1,Armenia,imported,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Near East and North Africa,Upper middle income,no,0.016069984214818894,2947750.0,4.73702959692324e-05
1,Armenia,imported,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Near East and North Africa,Upper middle income,no,0.0024210779386917482,2947750.0,7.136732493778601e-06
1,Armenia,imported,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0013367213770092866,2947750.0,3.940320439079124e-06
1,Armenia,imported,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,3.61377463962341e-05,2947750.0,1.0652504193949911e-07
1,Armenia,imported,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0022057293740647675,2947750.0,6.5019387623994186e-06
1,Armenia,imported,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,Near East and North Africa,Upper middle income,no,3.123381903677e-07,2947750.0,9.206949006565752e-10
1,Armenia,imported,baseline,plant,Fruits,2619,Dates,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0007177370481287513,2947750.0,2.1157093836215263e-06
1,Armenia,imported,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Near East and North Africa,Upper middle income,no,0.001970766290313932,2947750.0,5.809326332272893e-06
