country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
9,Argentina,domestic,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.000386976775293666,44146750.0,1.708376695469565e-05
9,Argentina,domestic,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,a_animal,Aquatic animals,2763,Pelagic Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,a_animal,Aquatic animals,2764,"Marine Fish, Other",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.08420864351592043,44146750.0,0.00371753793313646
9,Argentina,domestic,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.05066779278975637,44146750.0,0.002236818381341177
9,Argentina,domestic,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.006224967129281146,44146750.0,0.00027481206761459246
9,Argentina,domestic,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,7.82671633623774e-05,44146750.0,3.4552408941680347e-06
9,Argentina,domestic,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.02345054970797916,44146750.0,0.001035265555320729
9,Argentina,domestic,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,8.081317323044706e-08,44146750.0,3.567638955311238e-09
9,Argentina,domestic,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.007813400370119454,44146750.0,0.000344936232789571
9,Argentina,domestic,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.0796549433178798e-05,44146750.0,4.7663256868918735e-07
9,Argentina,domestic,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.73803656562921e-05,44146750.0,7.672866575369175e-07
9,Argentina,domestic,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0,44146750.0,0.0
9,Argentina,domestic,baseline,plant,Grains,2515,Rye and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,3.054398375281e-07,44146750.0,1.3484176147396119e-08
9,Argentina,domestic,baseline,plant,Grains,2516,Oats,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,6.567127690494299e-06,44146750.0,2.899173443703333e-07
9,Argentina,domestic,baseline,plant,Grains,2518,Sorghum and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,8.145062334084101e-06,44146750.0,3.5957803059723e-07
9,Argentina,domestic,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.009545870510812817,44146750.0,0.00042141915897322567
9,Argentina,domestic,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0008636359577688477,44146750.0,3.812672071863188e-05
