country,mi,income_class,diet_footprint,diet_footprint_whole_pop
Argentina,"Critically
important",Upper middle income,4.961743044138968,0.21904482973384198
Argentina,"Highly
important",Upper middle income,5.635114821333481,0.24877200523870382
Argentina,Important,Upper middle income,0.39002625337101243,0.017218391501006743
Argentina,Others,Upper middle income,2.0208220279708575,0.08921272486332246
Australia,"Critically
important",High income,7.766805181221963,0.19212940146918303
Australia,"Highly
important",High income,13.177077692781745,0.3259646651557652
Australia,Important,High income,1.0083024757655497,0.024942630418631345
Australia,Others,High income,5.057649282263668,0.1251123347076769
Belarus,"Critically
important",Upper middle income,4.798942903136146,0.045351210170362366
Belarus,"Highly
important",Upper middle income,5.100990966814744,0.04820563988414104
Belarus,Important,Upper middle income,0.2016497953228745,0.0019056409782499948
Belarus,Others,Upper middle income,0.06421620063166167,0.0006068591500193607
Bolivia,"Critically
important",Lower middle income,4.222226929819489,0.04759610862312264
Bolivia,"Highly
important",Lower middle income,3.1133282173825365,0.035095770662498985
Bolivia,Important,Lower middle income,0.5501514564328936,0.006201719830503902
Bolivia,Others,Lower middle income,1.7101800731587582,0.01927843241970039
Brazil,"Critically
important",Upper middle income,3.8673305087939034,0.8068372967191634
Brazil,"Highly
important",Upper middle income,4.499463682578113,0.938718608632589
Brazil,Important,Upper middle income,0.27715101434041334,0.0578217389708261
Brazil,Others,Upper middle income,1.508886466751212,0.3147974746718386
Chile,"Critically
important",High income,2.6481559879090466,0.049229219815229174
Chile,"Highly
important",High income,8.066059496167414,0.14994804603375222
Chile,Important,High income,0.6934004697044084,0.012890314731804953
Chile,Others,High income,0.7819609307756765,0.014536653703119828
"China, mainland","Critically
important",Upper middle income,9.150886791219927,13.03201351471117
"China, mainland","Highly
important",Upper middle income,12.9129090609828,18.389606301153925
"China, mainland",Important,Upper middle income,1.2286310623898153,1.7497251331991925
"China, mainland",Others,Upper middle income,0.06779992781141032,0.09655562304437058
Cyprus,"Critically
important",High income,8.068386626499976,0.009557003959089223
Cyprus,"Highly
important",High income,15.784529714782844,0.018696775447160276
Cyprus,Important,High income,1.2056564069779987,0.0014281000140654396
Cyprus,Others,High income,0.0889413298508425,0.00010535100520832295
Hong Kong,"Critically
important",High income,7.44638825707894,0.05465276661283088
Hong Kong,"Highly
important",High income,9.664361009022151,0.07093157762571808
Hong Kong,Important,High income,0.72471818643956,0.00531906912937315
Hong Kong,Others,High income,2.1729001162088384,0.015948000402914768
Israel,"Critically
important",High income,4.754737837326579,0.03952851301061452
Israel,"Highly
important",High income,4.508245947326649,0.037479302683100096
