country,mi,income_class,diet_footprint,diet_footprint_whole_pop
Argentina,"Critically
important",Upper middle income,4.961743044138968,0.21904482973384198
Argentina,"Highly
important",Upper middle income,5.635114821333481,0.24877200523870382
Argentina,Important,Upper middle income,0.39002625337101243,0.017218391501006743
Argentina,Others,Upper middle income,2.0208220279708575,0.08921272486332246
Australia,"Critically
important",High income,7.766805181221963,0.19212940146918303
Australia,"Highly
important",High income,13.177077692781745,0.3259646651557652
Australia,Important,High income,1.0083024757655497,0.024942630418631345
Australia,Others,High income,5.057649282263668,0.1251123347076769
Bangladesh,"Critically
important",Lower middle income,1.2423627555150676,0.199425622468723
Bangladesh,"Highly
important",Lower middle income,1.4480575963616569,0.2324440154399686
Bangladesh,Important,Lower middle income,0.2034898426400665,0.032664443902886774
Bangladesh,Others,Lower middle income,0.3440208197084829,0.05522265200563031
Brazil,"Critically
important",Upper middle income,3.8673305087939034,0.8068372967191634
Brazil,"Highly
important",Upper middle income,4.499463682578113,0.938718608632589
Brazil,Important,Upper middle income,0.27715101434041334,0.0578217389708261
Brazil,Others,Upper middle income,1.508886466751212,0.3147974746718386
"China, mainland","Critically
important",Upper middle income,9.150886791219927,13.03201351471117
"China, mainland","Highly
important",Upper middle income,12.9129090609828,18.389606301153925
"China, mainland",Important,Upper middle income,1.2286310623898153,1.7497251331991925
"China, mainland",Others,Upper middle income,0.06779992781141032,0.09655562304437058
India,"Critically
important",Lower middle income,0.608475293554075,0.8187421456581486
India,"Highly
important",Lower middle income,0.7704644113999329,1.0367087900287337
India,Important,Lower middle income,0.08157900739644283,0.10976973471888352
India,Others,Lower middle income,0.16237009124992433,0.21847926827756758
Indonesia,"Critically
important",Lower middle income,1.5839606688597647,0.42153311696097373
Indonesia,"Highly
important",Lower middle income,2.209551296886365,0.5880190484351808
Indonesia,Important,Lower middle income,0.16554484506566366,0.04405578743794481
Indonesia,Others,Lower middle income,0.2966123506725691,0.0789362584350881
Iran,"Critically
important",Lower middle income,2.7254372563417935,0.22140907183069464
Iran,"Highly
important",Lower middle income,3.150962858648111,0.2559779207108553
Iran,Important,Lower middle income,0.34230591869364224,0.027808248222834103
Iran,Others,Lower middle income,1.0237077493786204,0.08316397014402035
Italy,"Critically
important",High income,3.6890155716651214,0.22365948058669882
Italy,"Highly
important",High income,4.012736206388865,0.24328617708904735
Italy,Important,High income,0.24525036881449844,0.014869161985669819
Italy,Others,High income,0.1105254052134291,0.006700989529982385
Japan,"Critically
important",High income,3.2917529568895496,0.41914548750666014
