item_index,item,footprint,footprint_type,edible_fraction,median,n
Belgium,"Sheep
& goat

N=176",30.399909877986023,kg_co2e,0.71,35.46472316692549,176
Iceland,"Sheep
& goat

N=226",25.60407956949242,abx,0.71,484.2695171751262,226
Niger,"Sheep
& goat

N=176",26.992375206045523,kg_co2e,0.71,35.46472316692549,176
Sierra Leone,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Hungary,"Sheep
& goat

N=226",493.87875121977146,abx,0.71,484.2695171751262,226
Nigeria,"Sheep
& goat

N=176",53.32424821439618,kg_co2e,0.71,35.46472316692549,176
Finland,"Sheep
& goat

N=176",24.974853929744953,kg_co2e,0.71,35.46472316692549,176
Honduras,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Singapore,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Holy See,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
North Macedonia,"Sheep
& goat

N=176",13.166293652399352,kg_co2e,0.71,35.46472316692549,176
Haiti,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
France,"Sheep
& goat

N=176",24.642043531491844,kg_co2e,0.71,35.46472316692549,176
Slovakia,"Sheep
& goat

N=226",247.2079675498273,abx,0.71,484.2695171751262,226
Guyana,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Fiji,"Sheep
& goat

N=176",54.41004454963797,kg_co2e,0.71,35.46472316692549,176
Norway,"Sheep
& goat

N=176",31.664656000647057,kg_co2e,0.71,35.46472316692549,176
Slovenia,"Sheep
& goat

N=226",220.98125814243954,abx,0.71,484.2695171751262,226
Guinea-Bissau,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Faroe Islands,"Sheep
& goat

N=176",23.175807027960403,kg_co2e,0.71,35.46472316692549,176
Falkland Islands (Malvinas),"Sheep
& goat

N=176",201.78491507632248,kg_co2e,0.71,35.46472316692549,176
Guinea,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Occupied Palestinian Territory,"Sheep
& goat

N=176",11.309362412878281,kg_co2e,0.71,35.46472316692549,176
Solomon Islands,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Guatemala,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Northern Mariana Islands,"Sheep
& goat

N=176",9.493667799404314,kg_co2e,0.71,35.46472316692549,176
Seychelles,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
India,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Serbia,"Sheep
& goat

N=226",244.54492007614456,abx,0.71,484.2695171751262,226
Jordan,"Sheep
& goat

N=226",295.4080998818096,abx,0.71,484.2695171751262,226
Mozambique,"Sheep
& goat

N=176",61.25565939608269,kg_co2e,0.71,35.46472316692549,176
Saint Vincent and the Grenadines,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Japan,"Sheep
& goat

N=226",137.83657104703695,abx,0.71,484.2695171751262,226
Myanmar,"Sheep
& goat

N=176",34.20473091441679,kg_co2e,0.71,35.46472316692549,176
Germany,"Sheep
& goat

N=176",36.17151902139181,kg_co2e,0.71,35.46472316692549,176
Jamaica,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Samoa,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Italy,"Sheep
& goat

N=226",495.38444841881477,abx,0.71,484.2695171751262,226
Namibia,"Sheep
& goat

N=176",52.08980273577685,kg_co2e,0.71,35.46472316692549,176
Georgia,"Sheep
& goat

N=176",35.45499419755219,kg_co2e,0.71,35.46472316692549,176
San Marino,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Israel,"Sheep
& goat

N=226",484.2701934904929,abx,0.71,484.2695171751262,226
Sao Tome and Principe,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Nepal,"Sheep
& goat

N=176",30.80059712317793,kg_co2e,0.71,35.46472316692549,176
Ireland,"Sheep
& goat

N=226",180.82685961466913,abx,0.71,484.2695171751262,226
Gambia,"Sheep
& goat

N=176",50.69661896079856,kg_co2e,0.71,35.46472316692549,176
Saudi Arabia,"Sheep
& goat

N=226",295.41027830846923,abx,0.71,484.2695171751262,226
Iraq,"Sheep
& goat

N=226",295.3999328222163,abx,0.71,484.2695171751262,226
Netherlands,"Sheep
& goat

N=176",32.290472187833146,kg_co2e,0.71,35.46472316692549,176
Iran (Islamic Republic of),"Sheep
& goat

N=226",960.0323457184527,abx,0.71,484.2695171751262,226
Senegal,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Gabon,"Sheep
& goat

N=176",50.96001878986314,kg_co2e,0.71,35.46472316692549,176
Indonesia,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
New Zealand,"Sheep
& goat

N=176",33.373662154963306,kg_co2e,0.71,35.46472316692549,176
Oman,"Sheep
& goat

N=176",14.19705032604732,kg_co2e,0.71,35.46472316692549,176
Saint Pierre and Miquelon,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Guam,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Pakistan,"Sheep
& goat

N=176",50.96631474895074,kg_co2e,0.71,35.46472316692549,176
Egypt,"Sheep
& goat

N=176",34.75396472624598,kg_co2e,0.71,35.46472316692549,176
Sweden,"Sheep
& goat

N=226",27.877754108424128,abx,0.71,484.2695171751262,226
Finland,"Sheep
& goat

N=226",37.17229902471432,abx,0.71,484.2695171751262,226
Switzerland,"Sheep
& goat

N=226",110.40190547628578,abx,0.71,484.2695171751262,226
Fiji,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Qatar,"Sheep
& goat

N=176",17.24125308933081,kg_co2e,0.71,35.46472316692549,176
Faroe Islands,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Falkland Islands (Malvinas),"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Republic of Korea,"Sheep
& goat

N=176",27.36958135170905,kg_co2e,0.71,35.46472316692549,176
Ecuador,"Sheep
& goat

N=176",29.343735316870045,kg_co2e,0.71,35.46472316692549,176
Syrian Arab Republic,"Sheep
& goat

N=226",295.3999328222163,abx,0.71,484.2695171751262,226
Portugal,"Sheep
& goat

N=176",25.354718313376594,kg_co2e,0.71,35.46472316692549,176
Ethiopia,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Eswatini,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Dominican Republic,"Sheep
& goat

N=176",43.738446020713795,kg_co2e,0.71,35.46472316692549,176
Tajikistan,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Estonia,"Sheep
& goat

N=226",286.5923758889184,abx,0.71,484.2695171751262,226
Romania,"Sheep
& goat

N=176",16.847639745906797,kg_co2e,0.71,35.46472316692549,176
Eritrea,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Djibouti,"Sheep
& goat

N=176",56.46138456349776,kg_co2e,0.71,35.46472316692549,176
Thailand,"Sheep
& goat

N=226",6685.304134281158,abx,0.71,484.2695171751262,226
Equatorial Guinea,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Russian Federation,"Sheep
& goat

N=176",44.65587855585833,kg_co2e,0.71,35.46472316692549,176
Timor-Leste,"Sheep
& goat

N=226",4.952265819824609,abx,0.71,484.2695171751262,226
Republic of Moldova,"Sheep
& goat

N=176",14.529984401198236,kg_co2e,0.71,35.46472316692549,176
France,"Sheep
& goat

N=226",242.16887580387987,abx,0.71,484.2695171751262,226
Niger,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
French Guiana,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Ethiopia,"Sheep
& goat

N=176",47.86628742001404,kg_co2e,0.71,35.46472316692549,176
Somalia,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Grenada,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Panama,"Sheep
& goat

N=176",34.99424310470058,kg_co2e,0.71,35.46472316692549,176
Greenland,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
South Africa,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Greece,"Sheep
& goat

N=226",367.9576710231199,abx,0.71,484.2695171751262,226
Eswatini,"Sheep
& goat

N=176",51.55515055955474,kg_co2e,0.71,35.46472316692549,176
South Sudan,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Ghana,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Paraguay,"Sheep
& goat

N=176",51.51345600974474,kg_co2e,0.71,35.46472316692549,176
Spain,"Sheep
& goat

N=226",793.9710274674461,abx,0.71,484.2695171751262,226
Germany,"Sheep
& goat

N=226",217.76802995893487,abx,0.71,484.2695171751262,226
Peru,"Sheep
& goat

N=176",55.85893666615685,kg_co2e,0.71,35.46472316692549,176
Estonia,"Sheep
& goat

N=176",26.3355505250025,kg_co2e,0.71,35.46472316692549,176
Georgia,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Sri Lanka,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Eritrea,"Sheep
& goat

N=176",47.19331677495061,kg_co2e,0.71,35.46472316692549,176
Gambia,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Philippines,"Sheep
& goat

N=176",46.28120666096083,kg_co2e,0.71,35.46472316692549,176
Sudan,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Gabon,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Equatorial Guinea,"Sheep
& goat

N=176",51.87599882995148,kg_co2e,0.71,35.46472316692549,176
French Polynesia,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Poland,"Sheep
& goat

N=176",32.52920674632925,kg_co2e,0.71,35.46472316692549,176
Guadeloupe,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Ghana,"Sheep
& goat

N=176",44.89728527446979,kg_co2e,0.71,35.46472316692549,176
Kazakhstan,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Saint Lucia,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
