item_index,item,footprint,footprint_type,edible_fraction,median
SOM,"Pig meat,
intensive",100.41305244931505,abx_bko,0.73,273.9817128621005
VAT,"Pig meat,
intensive",273.9817128621005,abx_bko,0.73,273.9817128621005
VCT,"Pig meat,
intensive",566.6514346922374,abx_bko,0.73,273.9817128621005
GTM,"Pig meat,
intensive",506.0283784383561,abx_bko,0.73,273.9817128621005
VEN,"Pig meat,
intensive",497.64089615525114,abx_bko,0.73,273.9817128621005
GRL,"Pig meat,
intensive",273.9817128621005,abx_bko,0.73,273.9817128621005
VGB,"Pig meat,
intensive",524.0996160182648,abx_bko,0.73,273.9817128621005
VIR,"Pig meat,
intensive",524.0996160182648,abx_bko,0.73,273.9817128621005
GRD,"Pig meat,
intensive",573.6392532438356,abx_bko,0.73,273.9817128621005
VNM,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
GRC,"Pig meat,
intensive",257.4570231488584,abx_bko,0.73,273.9817128621005
VUT,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
WLF,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
GNQ,"Pig meat,
intensive",99.54645628127854,abx_bko,0.73,273.9817128621005
WSM,"Pig meat,
intensive",524.0996160182648,abx_bko,0.73,273.9817128621005
GNB,"Pig meat,
intensive",100.40669846392693,abx_bko,0.73,273.9817128621005
YEM,"Pig meat,
intensive",213.2171339105023,abx_bko,0.73,273.9817128621005
ZAF,"Pig meat,
intensive",100.76186310684932,abx_bko,0.73,273.9817128621005
GMB,"Pig meat,
intensive",100.12744234155251,abx_bko,0.73,273.9817128621005
ZMB,"Pig meat,
intensive",100.50339518721462,abx_bko,0.73,273.9817128621005
GLP,"Pig meat,
intensive",524.0996160182648,abx_bko,0.73,273.9817128621005
ZWE,"Pig meat,
intensive",100.82209306666668,abx_bko,0.73,273.9817128621005
GUF,"Pig meat,
intensive",524.0996160182648,abx_bko,0.73,273.9817128621005
UZB,"Pig meat,
intensive",280.86904148310504,abx_bko,0.73,273.9817128621005
GUM,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
USA,"Pig meat,
intensive",178.66892968949767,abx_bko,0.73,273.9817128621005
IRL,"Pig meat,
intensive",58.89622117990867,abx_bko,0.73,273.9817128621005
TKL,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
TKM,"Pig meat,
intensive",290.6817395652968,abx_bko,0.73,273.9817128621005
IND,"Pig meat,
intensive",639.8359060073059,abx_bko,0.73,273.9817128621005
TLS,"Pig meat,
intensive",3.4447232602739724,abx_bko,0.73,273.9817128621005
IDN,"Pig meat,
intensive",646.2315499762557,abx_bko,0.73,273.9817128621005
TON,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
TTO,"Pig meat,
intensive",605.7549412748858,abx_bko,0.73,273.9817128621005
HUN,"Pig meat,
intensive",198.76830987762557,abx_bko,0.73,273.9817128621005
TUN,"Pig meat,
intensive",97.63306276712329,abx_bko,0.73,273.9817128621005
Albania,"Pig meat,
intensive",7.5747571426243825,kg_co2e_bko,0.73,8.285248226856304
HTI,"Pig meat,
intensive",514.1409529534247,abx_bko,0.73,273.9817128621005
TUV,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
HRV,"Pig meat,
intensive",104.17203724018265,abx_bko,0.73,273.9817128621005
TWN,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
HND,"Pig meat,
intensive",544.6827664913242,abx_bko,0.73,273.9817128621005
TZA,"Pig meat,
intensive",100.45880725479452,abx_bko,0.73,273.9817128621005
UGA,"Pig meat,
intensive",100.9941479780822,abx_bko,0.73,273.9817128621005
HKG,"Pig meat,
intensive",645.801508562557,abx_bko,0.73,273.9817128621005
UKR,"Pig meat,
intensive",266.6896391488584,abx_bko,0.73,273.9817128621005
GUY,"Pig meat,
intensive",618.2365209515982,abx_bko,0.73,273.9817128621005
URY,"Pig meat,
intensive",507.51080925662103,abx_bko,0.73,273.9817128621005
TUR,"Pig meat,
intensive",273.9817128621005,abx_bko,0.73,273.9817128621005
GIN,"Pig meat,
intensive",99.59646771141554,abx_bko,0.73,273.9817128621005
Angola,"Pig meat,
intensive",4.729440029472258,kg_co2e_bko,0.73,8.285248226856304
GHA,"Pig meat,
intensive",100.66777093515981,abx_bko,0.73,273.9817128621005
Chile,"Pig meat,
intensive",8.066172482572153,kg_co2e_bko,0.73,8.285248226856304
EST,"Pig meat,
intensive",74.3139479671233,abx_bko,0.73,273.9817128621005
"China, Taiwan Province of","Pig meat,
intensive",12.350743442424758,kg_co2e_bko,0.73,8.285248226856304
"China, mainland","Pig meat,
intensive",12.350743442424758,kg_co2e_bko,0.73,8.285248226856304
ESP,"Pig meat,
intensive",176.88077215342466,abx_bko,0.73,273.9817128621005
Colombia,"Pig meat,
intensive",7.123707879860835,kg_co2e_bko,0.73,8.285248226856304
ESH,"Pig meat,
intensive",100.41305244931505,abx_bko,0.73,273.9817128621005
Congo,"Pig meat,
intensive",3.5330272862645944,kg_co2e_bko,0.73,8.285248226856304
ERI,"Pig meat,
intensive",100.41305244931505,abx_bko,0.73,273.9817128621005
Costa Rica,"Pig meat,
intensive",8.656818228284779,kg_co2e_bko,0.73,8.285248226856304
ETH,"Pig meat,
intensive",99.62713510684931,abx_bko,0.73,273.9817128621005
Croatia,"Pig meat,
intensive",9.572458100257354,kg_co2e_bko,0.73,8.285248226856304
Cyprus,"Pig meat,
intensive",9.04826201123765,kg_co2e_bko,0.73,8.285248226856304
Czechia,"Pig meat,
intensive",6.043276985670102,kg_co2e_bko,0.73,8.285248226856304
ECU,"Pig meat,
intensive",503.57433713059356,abx_bko,0.73,273.9817128621005
Côte d'Ivoire,"Pig meat,
intensive",9.299962313033703,kg_co2e_bko,0.73,8.285248226856304
DZA,"Pig meat,
intensive",97.32438812785388,abx_bko,0.73,273.9817128621005
Democratic People's Republic of Korea,"Pig meat,
intensive",5.277899543357237,kg_co2e_bko,0.73,8.285248226856304
Denmark,"Pig meat,
intensive",6.078936532196269,kg_co2e_bko,0.73,8.285248226856304
DOM,"Pig meat,
intensive",532.0163773899544,abx_bko,0.73,273.9817128621005
Dominican Republic,"Pig meat,
intensive",7.58494983428026,kg_co2e_bko,0.73,8.285248226856304
DNK,"Pig meat,
intensive",36.93753581369863,abx_bko,0.73,273.9817128621005
EGY,"Pig meat,
intensive",98.26555276894977,abx_bko,0.73,273.9817128621005
TJK,"Pig meat,
intensive",315.81733508310504,abx_bko,0.73,273.9817128621005
Canada,"Pig meat,
intensive",5.048182266538736,kg_co2e_bko,0.73,8.285248226856304
Cameroon,"Pig meat,
intensive",5.273428652791757,kg_co2e_bko,0.73,8.285248226856304
Argentina,"Pig meat,
intensive",15.830930135895121,kg_co2e_bko,0.73,8.285248226856304
Armenia,"Pig meat,
intensive",9.074673504188066,kg_co2e_bko,0.73,8.285248226856304
GEO,"Pig meat,
intensive",275.0521050630137,abx_bko,0.73,273.9817128621005
Australia,"Pig meat,
intensive",13.578971236926142,kg_co2e_bko,0.73,8.285248226856304
GBZ,"Pig meat,
intensive",273.9817128621005,abx_bko,0.73,273.9817128621005
Austria,"Pig meat,
intensive",7.726320287431212,kg_co2e_bko,0.73,8.285248226856304
Barbados,"Pig meat,
intensive",6.4977124251107155,kg_co2e_bko,0.73,8.285248226856304
GBR,"Pig meat,
intensive",11.020408116894979,abx_bko,0.73,273.9817128621005
Belarus,"Pig meat,
intensive",7.80915734474869,kg_co2e_bko,0.73,8.285248226856304
Belgium,"Pig meat,
intensive",9.912284427741218,kg_co2e_bko,0.73,8.285248226856304
FIN,"Pig meat,
intensive",22.73473124383562,abx_bko,0.73,273.9817128621005
